# segment point distance q1 q2 q3 frequency_1_THz frequency_2_THz frequency_3_THz
0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000001523 0.0000002248 0.0000002791
0.0000000000 1.0000000000 0.0043668123 0.0050000000 -0.0050000000 0.0050000000 0.2644068537 0.2644068537 0.5447400742
0.0000000000 2.0000000000 0.0087336246 0.0100000000 -0.0100000000 0.0100000000 0.5288815419 0.5288815419 1.0887537932
0.0000000000 3.0000000000 0.0131004369 0.0150000000 -0.0150000000 0.0150000000 0.7934909583 0.7934909583 1.6313166913
0.0000000000 4.0000000000 0.0174672492 0.0200000000 -0.0200000000 0.0200000000 1.0583001239 1.0583001239 2.1717080777
0.0000000000 5.0000000000 0.0218340615 0.0250000000 -0.0250000000 0.0250000000 1.3233712707 1.3233712707 2.7092129154
0.0000000000 6.0000000000 0.0262008738 0.0300000000 -0.0300000000 0.0300000000 1.5887629511 1.5887629511 3.2431236878
0.0000000000 7.0000000000 0.0305676861 0.0350000000 -0.0350000000 0.0350000000 1.8545291787 1.8545291787 3.7727422516
0.0000000000 8.0000000000 0.0349344984 0.0400000000 -0.0400000000 0.0400000000 2.1207186093 2.1207186093 4.2973816709
0.0000000000 9.0000000000 0.0393013107 0.0450000000 -0.0450000000 0.0450000000 2.3873737679 2.3873737679 4.8163680292
0.0000000000 10.0000000000 0.0436681230 0.0500000000 -0.0500000000 0.0500000000 2.6545303276 2.6545303276 5.3290422157
0.0000000000 11.0000000000 0.0480349353 0.0550000000 -0.0550000000 0.0550000000 2.9222164474 2.9222164474 5.8347616828
0.0000000000 12.0000000000 0.0524017476 0.0600000000 -0.0600000000 0.0600000000 3.1904521711 3.1904521711 6.3329021699
0.0000000000 13.0000000000 0.0567685599 0.0650000000 -0.0650000000 0.0650000000 3.4592488943 3.4592488943 6.8228593918
0.0000000000 14.0000000000 0.0611353722 0.0700000000 -0.0700000000 0.0700000000 3.7286088999 3.7286088999 7.3040506862
0.0000000000 15.0000000000 0.0655021845 0.0750000000 -0.0750000000 0.0750000000 3.9985249662 3.9985249662 7.7759166183
0.0000000000 16.0000000000 0.0698689968 0.0800000000 -0.0800000000 0.0800000000 4.2689800493 4.2689800493 8.2379225380
0.0000000000 17.0000000000 0.0742358091 0.0850000000 -0.0850000000 0.0850000000 4.5399470393 4.5399470393 8.6895600870
0.0000000000 18.0000000000 0.0786026214 0.0900000000 -0.0900000000 0.0900000000 4.8113885929 4.8113885929 9.1303486514
0.0000000000 19.0000000000 0.0829694337 0.0950000000 -0.0950000000 0.0950000000 5.0832570391 5.0832570391 9.5598367565
0.0000000000 20.0000000000 0.0873362460 0.1000000000 -0.1000000000 0.1000000000 5.3554943593 5.3554943593 9.9776034016
0.0000000000 21.0000000000 0.0917030583 0.1050000000 -0.1050000000 0.1050000000 5.6280322389 5.6280322389 10.3832593282
0.0000000000 22.0000000000 0.0960698706 0.1100000000 -0.1100000000 0.1100000000 5.9007921884 5.9007921884 10.7764482210
0.0000000000 23.0000000000 0.1004366829 0.1150000000 -0.1150000000 0.1150000000 6.1736857319 6.1736857319 11.1568478364
0.0000000000 24.0000000000 0.1048034952 0.1200000000 -0.1200000000 0.1200000000 6.4466146590 6.4466146590 11.5241710547
0.0000000000 25.0000000000 0.1091703075 0.1250000000 -0.1250000000 0.1250000000 6.7194713377 6.7194713377 11.8781668521
0.0000000000 26.0000000000 0.1135371198 0.1300000000 -0.1300000000 0.1300000000 6.9921390839 6.9921390839 12.2186211889
0.0000000000 27.0000000000 0.1179039321 0.1350000000 -0.1350000000 0.1350000000 7.2644925843 7.2644925843 12.5453578084
0.0000000000 28.0000000000 0.1222707444 0.1400000000 -0.1400000000 0.1400000000 7.5363983680 7.5363983680 12.8582389436
0.0000000000 29.0000000000 0.1266375567 0.1450000000 -0.1450000000 0.1450000000 7.8077153232 7.8077153232 13.1571659250
0.0000000000 30.0000000000 0.1310043690 0.1500000000 -0.1500000000 0.1500000000 8.0782952540 8.0782952540 13.4420796861
0.0000000000 31.0000000000 0.1353711813 0.1550000000 -0.1550000000 0.1550000000 8.3479834744 8.3479834744 13.7129611595
0.0000000000 32.0000000000 0.1397379936 0.1600000000 -0.1600000000 0.1600000000 8.6166194331 8.6166194331 13.9698315600
0.0000000000 33.0000000000 0.1441048059 0.1650000000 -0.1650000000 0.1650000000 8.8840373670 8.8840373670 14.2127525459
0.0000000000 34.0000000000 0.1484716182 0.1700000000 -0.1700000000 0.1700000000 9.1500669779 9.1500669779 14.4418262538
0.0000000000 35.0000000000 0.1528384305 0.1750000000 -0.1750000000 0.1750000000 9.4145341281 9.4145341281 14.6571951994
0.0000000000 36.0000000000 0.1572052428 0.1800000000 -0.1800000000 0.1800000000 9.6772615520 9.6772615520 14.8590420361
0.0000000000 37.0000000000 0.1615720551 0.1850000000 -0.1850000000 0.1850000000 9.9380695783 9.9380695783 15.0475891638
0.0000000000 38.0000000000 0.1659388674 0.1900000000 -0.1900000000 0.1900000000 10.1967768602 10.1967768602 15.2230981805
0.0000000000 39.0000000000 0.1703056797 0.1950000000 -0.1950000000 0.1950000000 10.4532011087 10.4532011087 15.3858691653
0.0000000000 40.0000000000 0.1746724920 0.2000000000 -0.2000000000 0.2000000000 10.7071598265 10.7071598265 15.5362397863
0.0000000000 41.0000000000 0.1790393043 0.2050000000 -0.2050000000 0.2050000000 10.9584710382 10.9584710382 15.6745842217
0.0000000000 42.0000000000 0.1834061166 0.2100000000 -0.2100000000 0.2100000000 11.2069540139 11.2069540139 15.8013118868
0.0000000000 43.0000000000 0.1877729289 0.2150000000 -0.2150000000 0.2150000000 11.4524299820 11.4524299820 15.9168659543
0.0000000000 44.0000000000 0.1921397412 0.2200000000 -0.2200000000 0.2200000000 11.6947228305 11.6947228305 16.0217216613
0.0000000000 45.0000000000 0.1965065535 0.2250000000 -0.2250000000 0.2250000000 11.9336597901 11.9336597901 16.1163843928
0.0000000000 46.0000000000 0.2008733658 0.2300000000 -0.2300000000 0.2300000000 12.1690721003 12.1690721003 16.2013875344
0.0000000000 47.0000000000 0.2052401781 0.2350000000 -0.2350000000 0.2350000000 12.4007956521 12.4007956521 16.2772900864
0.0000000000 48.0000000000 0.2096069904 0.2400000000 -0.2400000000 0.2400000000 12.6286716074 12.6286716074 16.3446740364
