atom,label,frac_x,frac_y,frac_z,x_ang,y_ang,z_ang,starting_magnetization,theta_deg,phi_deg,spin_x,spin_y,spin_z
1,A01,0.9864227772,0.9895656109,0.9562413096,7.546134339652181,7.570177017756903,7.315246109633865,0.15,89.0751432495,211.3798862018,-0.12804336377844133,-0.07809631845602778,0.0024211641655277664
2,A02,0.3445290029,0.0087589268,0.9762805104,2.6356469050416975,0.06700579085531258,7.468545997664943,0.15,71.2276672888,10.7899865498,0.1395097865399063,0.026587646892426323,0.048271280201724824
3,A03,0.6741304994,0.0496091917,0.0290049147,5.157098384699804,0.3795103212360798,0.2218876002211117,0.15,125.8067315633,214.4033431781,-0.10037043870932472,-0.0687336763704059,-0.0877579441754762
4,A04,0.0017973866,0.3385336399,0.000243733,0.013750007661411368,2.5897823775199376,0.001864557473244085,0.15,39.7310427418,149.3929225766,-0.08251992570697637,0.048815907344348534,0.11535800384656056
5,A05,0.3137618899,0.3138388097,0.0069173747,2.40027848765753,2.4008669241348657,0.052917917114689274,0.15,72.8091502689,121.9198731681,-0.07576679073600626,0.12163038230983701,0.044333322915490136
6,A06,0.7259150743,0.3235940337,0.0278892126,5.553250387623343,2.4754943886651923,0.21335247904971055,0.15,161.8661267435,329.4946369622,0.040223583788978216,-0.023698573257141944,-0.14254978405015886
7,A07,0.9571022987,0.646242857,0.0054580383,7.321832676330975,4.943757917680242,0.04175399351551674,0.15,107.1908497311,301.9198731681,0.0757667907360063,-0.121630382309837,-0.04433332291549012
8,A08,0.3392890692,0.6726818681,0.9481825233,2.595561411736981,5.146016355116651,7.253596393670322,0.15,55.2217667709,286.6809611891,0.035365007639087814,-0.11802017761748693,0.08556023556433269
9,A09,0.6501767039,0.6665887833,0.969090879,4.973851846840402,5.099404255815573,7.41354531676929,0.15,97.959538889,167.5397874382,-0.1450558636850643,0.03205244633196611,-0.020771063880227196
10,A10,0.9668227434,0.9560508132,0.3846940994,7.396194079212984,7.313788812155698,2.942909897097122,0.15,167.5898332194,106.448741806,-0.00912794680072879,0.03091697354363163,-0.14649512392603872
11,A11,0.3304274082,0.018494539,0.3144018054,2.5277697042418708,0.1414832251137687,2.405173841293557,0.15,66.6382389127,87.564866553,0.005850763346404231,0.13757857071687316,0.059480294617349605
12,A12,0.6669120789,0.0364469327,0.3397191465,5.101877467186404,0.2788190386308346,2.598851503122996,0.15,12.4101667806,286.448741806,0.00912794680072878,-0.030916973543631585,0.14649512392603875
13,A13,0.0146582825,0.3336633742,0.3295731246,0.11213586252291642,2.552524844450475,2.5212344346204,0.15,43.6352737763,342.1882809171,0.0985482362633786,-0.03166261319704464,0.1085620746619723
