ATOMIC_VELOCITIES { a.u }
Fe01 -1.1952906346788460e-03 -6.5380234349588678e-04 -5.9789104611386937e-04
Fe06  4.0663052705363078e-04  1.1109316645091848e-03  8.5667232634415802e-04
Fe04  1.9147278999616046e-04 -1.2348320617857041e-03 -1.1336141091325511e-03
Fe08 -5.5308599202720608e-04  6.8956699516149733e-04 -6.0009315773503239e-04
Fe06 -8.6239451040442719e-05  2.2867599227899534e-04 -6.4632784155385647e-04
Fe02 -7.0098421598455065e-04  4.2286312624835351e-04 -1.1615207040171536e-04
Fe05  5.1756102050538562e-04 -8.5155197443420930e-04 -3.5474729158125869e-04
Fe03  4.8552211882644120e-04  1.1895084741154916e-03 -7.0577081473388299e-04
Fe03  2.1817380614290566e-04  5.4768260407008049e-04  1.0266607447325334e-04
Fe02  3.9177478802297731e-05 -9.8340094095313328e-04  3.3907038176561500e-05
Fe07  3.1342875307084319e-04 -2.9811012692807382e-04 -1.7900175785600845e-04
Fe07 -5.1437966744420528e-05 -3.0309972111141503e-04  5.5245622470430204e-04
Fe04  1.0288347228610109e-04 -7.2335305222792005e-04 -4.6245551893696655e-04
Fe08  2.4509529328567621e-04 -2.9512325061482089e-04  6.0577872695956130e-04
Fe01  7.1994061877199563e-04  2.4543386458160713e-04 -1.6346024714109579e-04
Fe05 -6.8375078059773142e-04  6.2231936588864062e-05  1.8093740790613728e-03
Fe04 -9.3755404045500128e-04  7.6081296175870743e-04 -1.1883637468192781e-03
Fe04  7.8806945245456954e-04 -1.2399233709585268e-04  1.3546087827236567e-03
Fe07  1.4503623254418370e-04 -4.3993786641114346e-04  9.1897068416544128e-04
Fe01  3.7218529440815359e-04  8.1376218130752270e-04  1.9761445964188766e-04
Fe02 -2.9055072161925387e-04 -5.4907946387159560e-04 -4.3203373413495087e-04
Fe06 -7.3832744800317058e-04 -1.0277663409229625e-04 -1.1723401924620361e-03
Fe02  1.3825366627094520e-04 -3.1738964316280807e-04  1.0947533570631483e-03
Fe05  4.9365271531705561e-04 -8.0216505744723434e-04  8.0340475403896947e-04
Fe08  3.5982345622459884e-04  4.0696204258603233e-04 -1.0468100734563402e-03
Fe07 -2.9808030569813748e-04  7.8092366467790711e-04  3.8807087830926187e-04
Fe03 -1.4780164417429369e-03 -8.9774010941271387e-04  6.5923535099774984e-04
Fe06 -7.3175513688846395e-04  2.9919959004297698e-04  6.0582681169027308e-05
Fe05  7.8725941169166926e-04 -4.3936340160366928e-04 -2.3253490260461283e-04
Fe08 -6.2282107249697345e-04 -1.1301819963852484e-04  2.4130690268833150e-04
Fe01  1.0657987802427838e-03  1.6648779359657597e-03 -9.0263117984762940e-04
Fe03  9.7792932008173563e-04 -9.4696849605978631e-05  2.5482536399440284e-04
