ATOMIC_VELOCITIES { a.u }
Fe05 -6.0093906673489364e-04  6.8009321407100525e-05  1.1620811992743571e-03
Fe06 -8.1255071079713295e-04 -9.1269822521633775e-04  4.9995958584594198e-04
Fe07 -6.3260633040055172e-04  9.4626458509229985e-04 -8.5875687170059936e-05
Fe01 -1.2318057630009391e-04 -2.7582249902699388e-04 -7.7502139686506054e-04
Fe08 -2.9548013548048044e-04 -4.8384412421794093e-04  5.3740985367264676e-04
Fe02  3.3139353351042532e-04  4.5974621132175873e-04 -4.2375068217738888e-04
Fe03  1.9794261196536319e-03  3.9969546318453639e-04 -6.4871670680718421e-04
Fe04  1.5393716654909552e-04 -2.0135073254442290e-04 -2.6608616577325218e-04
Fe16  4.5974621132175878e-04 -4.2375068217738893e-04  3.3139353351042532e-04
Fe13  3.9969546318453645e-04 -6.4871670680718421e-04  1.9794261196536319e-03
Fe14 -2.0135073254442290e-04 -2.6608616577325224e-04  1.5393716654909552e-04
Fe11  6.8009321407100552e-05  1.1620811992743571e-03 -6.0093906673489364e-04
Fe15 -9.1269822521633775e-04  4.9995958584594198e-04 -8.1255071079713295e-04
Fe10  9.4626458509229985e-04 -8.5875687170059963e-05 -6.3260633040055172e-04
Fe12 -2.7582249902699383e-04 -7.7502139686506054e-04 -1.2318057630009391e-04
Fe09 -4.8384412421794088e-04  5.3740985367264676e-04 -2.9548013548048044e-04
