ATOMIC_VELOCITIES { a.u }
Fe08 -6.1414809670027454e-04  6.9504210346960218e-05  1.1876244968116970e-03
Fe14 -8.3041110177758124e-04 -9.3275992343765015e-04  5.1094902140851929e-04
Fe03 -6.4651142733484189e-04  9.6706409364742760e-04 -8.7763290402930483e-05
Fe10 -1.2588816516154270e-04 -2.8188525622893342e-04 -7.9205686921440300e-04
Fe06 -3.0197498026556462e-04 -4.9447933149460101e-04  5.4922247038172915e-04
Fe01  3.3867777804832250e-04  4.6985173086272491e-04 -4.3306499667044381e-04
Fe04  2.0229351880036465e-03  4.0848102838154904e-04 -6.6297592025093177e-04
Fe07  1.5732080518783599e-04 -2.0577655207747718e-04 -2.7193491206323623e-04
Fe11  4.6985173086272497e-04 -4.3306499667044386e-04  3.3867777804832250e-04
Fe13  4.0848102838154910e-04 -6.6297592025093177e-04  2.0229351880036465e-03
Fe02 -2.0577655207747715e-04 -2.7193491206323629e-04  1.5732080518783599e-04
Fe09  6.9504210346960272e-05  1.1876244968116970e-03 -6.1414809670027454e-04
Fe16 -9.3275992343765015e-04  5.1094902140851929e-04 -8.3041110177758124e-04
Fe05  9.6706409364742760e-04 -8.7763290402930551e-05 -6.4651142733484189e-04
Fe12 -2.8188525622893336e-04 -7.9205686921440300e-04 -1.2588816516154270e-04
Fe15 -4.9447933149460101e-04  5.4922247038172915e-04 -3.0197498026556462e-04
Fe24 -6.1414809670027454e-04  6.9504210346960245e-05  1.1876244968116970e-03
Fe23 -8.3041110177758124e-04 -9.3275992343765015e-04  5.1094902140851929e-04
Fe28 -6.4651142733484189e-04  9.6706409364742760e-04 -8.7763290402930523e-05
Fe30 -1.2588816516154270e-04 -2.8188525622893336e-04 -7.9205686921440300e-04
Fe22 -3.0197498026556462e-04 -4.9447933149460101e-04  5.4922247038172915e-04
Fe31  1.1876244968116970e-03 -6.1414809670027454e-04  6.9504210346960245e-05
Fe19  5.1094902140851929e-04 -8.3041110177758124e-04 -9.3275992343765015e-04
Fe29 -8.7763290402930483e-05 -6.4651142733484189e-04  9.6706409364742760e-04
Fe20 -7.9205686921440300e-04 -1.2588816516154272e-04 -2.8188525622893342e-04
Fe18  5.4922247038172915e-04 -3.0197498026556462e-04 -4.9447933149460101e-04
Fe32 -4.3306499667044381e-04  3.3867777804832250e-04  4.6985173086272491e-04
Fe27 -6.6297592025093177e-04  2.0229351880036465e-03  4.0848102838154904e-04
Fe25 -2.7193491206323623e-04  1.5732080518783597e-04 -2.0577655207747715e-04
Fe21  3.3867777804832250e-04  4.6985173086272497e-04 -4.3306499667044386e-04
Fe26  2.0229351880036465e-03  4.0848102838154910e-04 -6.6297592025093177e-04
Fe17  1.5732080518783599e-04 -2.0577655207747718e-04 -2.7193491206323629e-04
Fe37 -2.0577655207747715e-04 -2.7193491206323623e-04  1.5732080518783599e-04
Fe42 -4.3306499667044386e-04  3.3867777804832250e-04  4.6985173086272497e-04
Fe34 -6.6297592025093177e-04  2.0229351880036465e-03  4.0848102838154910e-04
Fe35 -2.7193491206323629e-04  1.5732080518783597e-04 -2.0577655207747715e-04
Fe48  1.1876244968116970e-03 -6.1414809670027454e-04  6.9504210346960272e-05
Fe44  5.1094902140851929e-04 -8.3041110177758124e-04 -9.3275992343765015e-04
Fe46 -8.7763290402930523e-05 -6.4651142733484189e-04  9.6706409364742760e-04
Fe47 -7.9205686921440300e-04 -1.2588816516154272e-04 -2.8188525622893336e-04
Fe45  5.4922247038172915e-04 -3.0197498026556462e-04 -4.9447933149460101e-04
Fe41  6.9504210346960245e-05  1.1876244968116970e-03 -6.1414809670027454e-04
Fe36 -9.3275992343765015e-04  5.1094902140851929e-04 -8.3041110177758124e-04
Fe40  9.6706409364742760e-04 -8.7763290402930523e-05 -6.4651142733484189e-04
Fe39 -2.8188525622893342e-04 -7.9205686921440300e-04 -1.2588816516154270e-04
Fe38 -4.9447933149460101e-04  5.4922247038172915e-04 -3.0197498026556462e-04
Fe33  4.6985173086272491e-04 -4.3306499667044381e-04  3.3867777804832250e-04
Fe43  4.0848102838154904e-04 -6.6297592025093177e-04  2.0229351880036465e-03
