# x_path held_b1_THz held_b2_THz held_b3_THz
0.0000000000 -0.0000003936 -0.0000003581 -0.0000002514
0.0438157971 0.7374233026 0.9996529589 0.9996529589
0.0876315942 1.4730086718 1.9930550680 1.9930550680
0.1314473914 2.2049374784 2.9740026310 2.9740026310
0.1752631885 2.9314295330 3.9363861516 3.9363861516
0.2190789856 3.6507618807 4.8742371709 4.8742371709
0.2628947827 4.3612870840 5.7817748122 5.7817748122
0.3067105798 5.0614508150 6.6534519730 6.6534519730
0.3505263770 5.7498085764 7.4840011360 7.4840011360
0.3943421741 6.4250413633 8.2684798190 8.2684798190
0.4381579712 7.0859700709 9.0023157380 9.0023157380
0.4819737683 7.7315684479 9.6813518306 9.6813518306
0.5257895655 8.3609743878 10.3018913798 10.3018913798
0.5696053626 8.9734993431 10.8607435863 10.8607435863
0.6134211597 9.5686356470 11.3552700752 11.3552700752
0.6572369568 10.1460615214 11.7834329885 11.7834329885
0.7010527539 10.7056435584 12.1438455086 12.1438455086
0.7448685511 11.2474364666 12.4358258860 12.4358258860
0.7886843482 11.7716798963 12.6594562933 12.6594562933
0.8325001453 12.2787921801 12.8156480845 12.8156480845
0.8763159424 12.7693608672 12.9062152587 12.9062152587
0.9201317395 12.9339580282 12.9339580282 13.2441299825
0.9639475367 12.9027582194 12.9027582194 13.7039840062
1.0077633338 12.8176875290 12.8176875290 14.1499286548
1.0515791309 12.6851279700 12.6851279700 14.5830686389
1.0953949280 12.5129004931 12.5129004931 15.0045826822
1.1392107252 12.3103917977 12.3103917977 15.4156962009
1.1830265223 12.0886596087 12.0886596087 15.8176521622
1.2268423194 11.8604822940 11.8604822940 16.2116807516
1.2706581165 11.6403001198 11.6403001198 16.5989685779
1.3144739136 11.4439766024 11.4439766024 16.9806282208
1.3582897108 11.2882993793 11.2882993793 17.3576689706
1.4021055079 11.1901579718 11.1901579718 17.7309696156
1.4459213050 11.1653994703 11.1653994703 18.1012540982
1.4897371021 11.2274760385 11.2274760385 18.4690707813
1.5335528992 11.3861265202 11.3861265202 18.8347759475
1.5773686964 11.6464052828 11.6464052828 19.1985220049
1.6211844935 12.0083153363 12.0083153363 19.5602506930
1.6650002906 12.4671216378 12.4671216378 19.9196914021
1.7088160877 13.0142066352 13.0142066352 20.2763645290
1.7526318848 13.6381982403 13.6381982403 20.6295896236
1.7964476820 14.3260984030 14.3260984030 20.9784979319
1.8402634791 15.0642303680 15.0642303680 21.3220488219
1.8840792762 15.8389332448 15.8389332448 21.6590494971
1.9278950733 16.6370141309 16.6370141309 21.9881773512
1.9717108705 17.4460079431 17.4460079431 22.3080043044
2.0155266676 18.2543033524 18.2543033524 22.6170224723
2.0593424647 19.0511849825 19.0511849825 22.9136705535
2.1031582618 19.8268286941 19.8268286941 23.1963603745
2.1469740589 20.5722742482 20.5722742482 23.4635030918
2.1907898561 21.2793900311 21.2793900311 23.7135346173
2.2346056532 21.9408379318 21.9408379318 23.9449399009
2.2784214503 22.5500422990 22.5500422990 24.1562757689
2.3222372474 23.1011644365 23.1011644365 24.3461920724
2.3660530445 23.5890827436 23.5890827436 24.5134509557
2.4098688417 24.0093779262 24.0093779262 24.6569440952
2.4536846388 24.3583224370 24.3583224370 24.7757077981
2.4975004359 24.6328732423 24.6328732423 24.8689358789
2.5413162330 24.8306670894 24.8306670894 24.9359902558
2.5851320302 24.9500175650 24.9500175650 24.9764092258
2.6289478273 24.9899133920 24.9899133920 24.9899133920
2.6599302745 24.9699584579 24.9723470248 24.9807702940
2.6909127218 24.9101779155 24.9197418959 24.9533487594
2.7218951691 24.8108246981 24.8323801292 24.9076720445
2.7528776163 24.6723208832 24.7107326233 24.8437788385
2.7838600636 24.4952584998 24.5554600966 24.7617231557
2.8148425109 24.2804007100 24.3674145682 24.6615741862
2.8458249581 24.0286834142 24.1476412838 24.5434161026
2.8768074054 23.7412173467 23.8973810989 24.4073478249
2.9077898527 23.4192907435 23.6180733215 24.2534827426
2.9387722999 23.0643726756 23.3113590056 24.0819483938
2.9697547472 22.6781171605 22.9790846599 23.8928861025
3.0007371945 22.2623681699 22.6233063032 23.6864505727
3.0317196417 21.8191656611 22.2462937436 23.4628094387
3.0627020890 21.3507527573 21.8505348806 23.2221427728
3.0936845363 20.8595841860 21.4387397275 22.9646425471
3.1246669836 20.3483360472 21.0138437061 22.6905120504
3.1556494308 19.8199169170 20.5790095872 22.3999652557
3.1866318781 19.2774801704 20.1376272128 22.0932261388
3.2176143254 18.7244372247 19.6933098566 21.7705279421
3.2485967726 18.1644711153 19.2498857516 21.4321123800
3.2795792199 17.6015494028 18.8113829598 21.0782287807
3.3105616672 17.0399348167 18.3820054195 20.7091331553
3.3415441144 16.4841912479 17.9660977455 20.3250871854
3.3725265617 15.9391816769 17.5680962712 19.9263571164
3.4035090090 15.4100534007 17.1924640511 19.5132125393
3.4344914562 14.9022046097 16.8436082277 19.0859250404
