step,temperature_K,pressure_GPa,scf_iterations,net_moment_muB_atom,absolute_moment_muB_atom,local_moment_muB,force_correction_percent,energy_Ry,Fermi_eV
1,4077.26178571,373.62,3.0,0.01698459780212649,1.755625,1.6300436154533977,4.346893661948596,-10526.81142079,33.8727
2,3867.84769539,373.53200000000004,55.0,0.016074776437014607,1.75625,1.6298100577759929,1.750676159998396,-10526.81699951,33.8728
3,3960.20588914,373.363,61.0,0.016180741832499523,1.7575,1.6295124048991312,3.731910455863655,-10526.82234621,33.873
4,4028.15388819,373.19,54.0,0.015581188577897387,1.7578125,1.6296171647288613,3.6590685656802484,-10526.83487488,33.8729
5,3936.80874317,373.495,133.0,0.015404696929832797,1.7596875,1.6290688999761906,2.193381792681681,-10526.8426997,33.8722
6,3923.78665985,373.446,37.0,0.014296661542122342,1.76,1.6284486564986138,3.421713595885218,-10526.84958581,33.8713
7,4010.71542859,373.04200000000003,152.0,0.01411448723829527,1.759375,1.6268011797897524,2.7067926094066537,-10526.85890555,33.87
8,3892.97546842,373.403,146.0,0.012816310409006174,1.7603125,1.62712241062725,3.7225421852291287,-10526.86973553,33.8688
9,3924.09423597,374.096,73.0,0.011846182138140541,1.7603125,1.6270821173774452,2.2171450800629673,-10526.88128284,33.8668
10,3762.82298838,374.026,183.0,0.01052341140030171,1.7603125,1.625760195225741,1.4624870750842676,-10526.88832949,33.8649
11,3855.95369837,373.276,31.0,0.009478594305064439,1.7603125,1.625139868236352,2.6791367413764484,-10526.89963804,33.8634
12,3716.01798589,373.009,125.0,0.008016097086487912,1.7609375,1.623951661686454,5.999701841497759,-10526.90639907,33.8617
13,3845.76254213,372.601,207.0,0.007029513674501245,1.760625,1.6220717061834309,3.025533701065218,-10526.9137229,33.8591
14,3891.06611451,373.566,38.0,0.005642334401646184,1.76125,1.6216463032725315,4.584230277476121,-10526.91657891,33.8555
15,3988.66523394,373.454,30.0,0.005275607192541916,1.7596875,1.6197042291689805,4.784810688117823,-10526.91769781,33.8519
16,3855.27206934,372.956,28.0,0.005457577873929057,1.75875,1.6184355657679825,3.8815323595563327,-10526.92325258,33.8483
17,3852.73216031,373.861,29.0,0.003965180481390475,1.759375,1.617312147852428,4.553893403102497,-10526.91509482,33.8446
18,3587.49320994,373.712,26.0,0.003644344934278313,1.75875,1.6162146179512349,4.795478676276736,-10526.91265557,33.8405
19,3615.35397304,374.26599999999996,35.0,0.0030136408628102986,1.7578125,1.6146457795139044,6.7867824994467725,-10526.91099815,33.8361
20,3670.51008725,373.911,180.0,0.0021874999999999998,1.7565625,1.6130798243196947,1.8486584604912362,-10526.90950184,33.8316
21,3741.32155767,374.698,286.0,0.0022097086912079614,1.7565625,1.6120182013741766,3.838783663283086,-10526.90774914,33.8267
22,3879.3680987,375.15500000000003,195.0,0.002275034340400162,1.7553125,1.610540695461644,2.7057349218042184,-10526.90814661,33.8214
23,3944.7263264,374.73,46.0,0.002538762001448738,1.7540625,1.6087113130392336,2.4994334026388656,-10526.90843911,33.8172
24,3991.94093116,375.456,49.0,0.003186887195995491,1.753125,1.6078313958159882,4.098462829950694,-10526.91034394,33.812
25,4151.75742757,375.33299999999997,89.0,0.003671043788897103,1.7521875,1.6064553145872646,1.8573121098609129,-10526.91132904,33.8075
26,4466.34598268,376.034,44.0,0.0040625,1.7509375,1.604970398758916,4.567836393999386,-10526.91044964,33.8023
27,4415.75761878,375.938,229.0,0.004441459501109967,1.7490625,1.602679632275891,2.6481068651371795,-10526.90504674,33.7977
28,4297.90023531,376.431,27.0,0.0050967207594687786,1.748125,1.6015398755322647,4.350582199975651,-10526.89874066,33.7932
29,3922.26182142,377.683,112.0,0.005038911092686594,1.7478125,1.600312247122559,3.071717291411568,-10526.887545,33.7894
30,4034.8979877,377.25100000000003,32.0,0.005625,1.74625,1.5984456501506608,5.202377961754955,-10526.8831242,33.7858
31,4064.14666116,378.177,34.0,0.005879652413195869,1.7459375,1.5977034499830671,1.9407948498945866,-10526.87254508,33.7829
32,3962.08463771,378.204,112.0,0.006296700524878089,1.7440625,1.5957364276315462,1.9979037274981426,-10526.86024631,33.7799
33,3704.93421823,378.681,45.0,0.006163463413536256,1.7440625,1.5949958321606261,1.8981188936956206,-10526.85123264,33.7781
34,3364.79066099,378.706,538.0,0.0062889411867181584,1.7434375,1.5940937882129118,2.4157723545434746,-10526.84561356,33.7763
35,3802.18480693,379.431,41.0,0.00635843435917994,1.7440625,1.5939230451535225,1.5695221545074685,-10526.84378234,33.7752
36,3881.07464442,379.316,22.0,0.006288941186718159,1.7446875,1.5937953139039034,5.841504930083682,-10526.84366045,33.7748
37,3636.88732834,378.87199999999996,22.0,0.006043462376816786,1.7446875,1.5934952408181537,5.466939220048545,-10526.84960923,33.7744
