iteration,time_ps,temperature_K,pressure_GPa,mag_x_Bohr,mag_y_Bohr,mag_z_Bohr,mag_total_Bohr,abs_mag_total_Bohr,scf_iterations,energy_Ry,constraint_energy_Ry,scf_accuracy_Ry,force_correction_Ry_Bohr,total_force_Ry_Bohr,force_warning,fit_rmse_eV_A,fit_condition,fit_rank,imaginary_path_percent
1,0.0,4000.0,429.104,0.06,-0.0,0.07,0.09219544457292887,57.27,12,-10523.78029764,0.54531268,9.557e-05,0.043684,2.515331,False,4.016764478182693,7.160729369311738,2,0.0
2,0.0009999667806108177,3843.91962297,428.84700000000004,0.08,0.01,0.05,0.09486832980505139,57.25,38,-10523.77636475,0.54688276,6.794e-05,0.034795,2.517298,False,4.055444902028614,7.1175661121528515,2,0.0
3,0.0019999335612216353,3817.90888592,427.842,0.09,0.0,0.03,0.09486832980505137,57.28,29,-10523.81445359,0.55078145,6.043e-05,0.046892,2.499808,False,4.053998112099772,7.023914248053618,2,0.0
4,0.0029999003418324528,3597.10232855,426.821,0.1,-0.02,0.02,0.10392304845413264,57.3,115,-10523.87500175,0.5509891,9.585e-05,0.028843,2.460749,False,4.023242118606589,6.897395197659174,2,7.198228128460686
5,0.003999867122443271,4319.23755469,424.558,0.1,-0.02,0.0,0.10198039027185571,57.38,102,-10523.97778894,0.54588013,8.391e-05,0.026945,2.396764,False,3.9354375603532783,6.73454226085085,2,7.862679955703211
6,0.0049998339030540885,5465.499692,421.76599999999996,0.1,-0.03,-0.02,0.1063014581273465,57.47,37,-10524.11168607,0.54017005,8.607e-05,0.060767,2.308187,False,3.7930039252709324,6.537645898545416,2,8.416389811738648
7,0.0059998006836649055,5259.72167227,420.14,0.09,-0.07,-0.04,0.12083045973594572,57.58,779,-10524.24491524,0.53262367,9.716e-05,0.024357,2.231911,False,3.652903008893289,6.345689072817968,2,14.06423034330011
8,0.006999767464275723,5205.50966898,417.41700000000003,0.07,-0.09,-0.05,0.12449899597988733,57.66,152,-10524.39448625,0.52729133,9.974e-05,0.021724,2.122128,False,3.4081868748599455,6.167765402645313,2,17.16500553709856
9,0.007999734244886541,5083.31433137,414.87,0.06,-0.11,-0.07,0.14352700094407325,57.72,154,-10524.54122999,0.52438411,9.819e-05,0.025488,2.022096,False,3.1812958641590843,6.012162999040777,2,18.715393133997786
10,0.008999701025497358,6032.33647455,411.70799999999997,0.04,-0.14,-0.08,0.1661324772583615,57.81,63,-10524.69441037,0.51929465,7.778e-05,0.060347,1.913034,False,2.914876698251048,5.866508276798911,2,19.712070874861574
