# x_path held_b1_THz held_b2_THz held_b3_THz
0.0000000000 0.0000000582 0.0000001595 0.0000001698
0.0438157971 0.4129785324 0.4129785324 0.4129785324
0.0876315942 0.8256740300 0.8256740300 0.8256740300
0.1314473914 1.2378036518 1.2378036518 1.2378036518
0.1752631885 1.6490849449 1.6490849449 1.6490849449
0.2190789856 2.0592360375 2.0592360375 2.0592360375
0.2628947827 2.4679758325 2.4679758325 2.4679758325
0.3067105798 2.8750242003 2.8750242003 2.8750242003
0.3505263770 3.2801021700 3.2801021700 3.2801021700
0.3943421741 3.6829321215 3.6829321215 3.6829321215
0.4381579712 4.0832379754 4.0832379754 4.0832379754
0.4819737683 4.4807453819 4.4807453819 4.4807453819
0.5257895655 4.8751819093 4.8751819093 4.8751819093
0.5696053626 5.2662772306 5.2662772306 5.2662772306
0.6134211597 5.6537633085 5.6537633085 5.6537633085
0.6572369568 6.0373745795 6.0373745795 6.0373745795
0.7010527539 6.4168481355 6.4168481355 6.4168481355
0.7448685511 6.7919239043 6.7919239043 6.7919239043
0.7886843482 7.1623448277 7.1623448277 7.1623448277
0.8325001453 7.5278570378 7.5278570378 7.5278570378
0.8763159424 7.8882100306 7.8882100306 7.8882100306
0.9201317395 8.2431568384 8.2431568384 8.2431568384
0.9639475367 8.5924541982 8.5924541982 8.5924541982
1.0077633338 8.9358627191 8.9358627191 8.9358627191
1.0515791309 9.2731470460 9.2731470460 9.2731470460
1.0953949280 9.6040760211 9.6040760211 9.6040760211
1.1392107252 9.9284228423 9.9284228423 9.9284228423
1.1830265223 10.2459652184 10.2459652184 10.2459652184
1.2268423194 10.5564855218 10.5564855218 10.5564855218
1.2706581165 10.8597709372 10.8597709372 10.8597709372
1.3144739136 11.1556136082 11.1556136082 11.1556136082
1.3582897108 11.4438107788 11.4438107788 11.4438107788
1.4021055079 11.7241649331 11.7241649331 11.7241649331
1.4459213050 11.9964839304 11.9964839304 11.9964839304
1.4897371021 12.2605811369 12.2605811369 12.2605811369
1.5335528992 12.5162755535 12.5162755535 12.5162755535
1.5773686964 12.7633919400 12.7633919400 12.7633919400
1.6211844935 13.0017609352 13.0017609352 13.0017609352
1.6650002906 13.2312191729 13.2312191729 13.2312191729
1.7088160877 13.4516093940 13.4516093940 13.4516093940
1.7526318848 13.6627805538 13.6627805538 13.6627805538
1.7964476820 13.8645879264 13.8645879264 13.8645879264
1.8402634791 14.0568932029 14.0568932029 14.0568932029
1.8840792762 14.2395645870 14.2395645870 14.2395645870
1.9278950733 14.4124768848 14.4124768848 14.4124768848
1.9717108705 14.5755115909 14.5755115909 14.5755115909
2.0155266676 14.7285569694 14.7285569694 14.7285569694
2.0593424647 14.8715081307 14.8715081307 14.8715081307
2.1031582618 15.0042671031 15.0042671031 15.0042671031
2.1469740589 15.1267429003 15.1267429003 15.1267429003
2.1907898561 15.2388515836 15.2388515836 15.2388515836
2.2346056532 15.3405163191 15.3405163191 15.3405163191
2.2784214503 15.4316674311 15.4316674311 15.4316674311
2.3222372474 15.5122424490 15.5122424490 15.5122424490
2.3660530445 15.5821861509 15.5821861509 15.5821861509
2.4098688417 15.6414506006 15.6414506006 15.6414506006
2.4536846388 15.6899951815 15.6899951815 15.6899951815
2.4975004359 15.7277866233 15.7277866233 15.7277866233
2.5413162330 15.7547990259 15.7547990259 15.7547990259
2.5851320302 15.7710138761 15.7710138761 15.7710138761
2.6289478273 15.7764200613 15.7764200613 15.7764200613
2.6599302745 15.7708480055 15.7737172003 15.7765858734
2.6909127218 15.7541353049 15.7656132500 15.7770828448
2.7218951691 15.7262923552 15.7521221113 15.7779095820
2.7528776163 15.6873364649 15.7332669644 15.7790637676
2.7838600636 15.6372918299 15.7090802856 15.7805421665
2.8148425109 15.5761894968 15.6796038724 15.7823406360
2.8458249581 15.5040673150 15.6448888738 15.7844541382
2.8768074054 15.4209698780 15.6049958291 15.7868767549
2.9077898527 15.3269484529 15.5599947122 15.7896017053
