ATOMIC_VELOCITIES { a.u }
Fe08 -1.1752407531043217e-04 -9.1670412745908296e-04 -9.5606102394903917e-04
Fe04 -4.8808979803724216e-05 7.9943722943933294e-04 1.2534476720705511e-03
Fe32 6.1187437311988752e-04 -3.8437133668615345e-04 2.5255218908992212e-05
Fe23 -3.5878276090662388e-04 -8.0982675579823328e-04 -4.7902178841467322e-04
Fe31 8.6461431662038278e-05 5.3272444397294732e-04 7.6032428146716397e-05
Fe10 -8.8461550121631525e-04 -8.4605063186904243e-04 1.5348348806331850e-03
Fe12 -1.3881773395218249e-03 1.2968536368853135e-03 2.4768576589914585e-04
Fe27 2.8106973014891605e-04 -1.9231502836586687e-04 1.4665598397124672e-04
Fe29 -1.5328578504209289e-03 7.8559591874311342e-04 7.5377442780168245e-04
Fe16 -5.2444736505554985e-04 -4.5956435434463684e-04 1.4451534098417144e-03
Fe02 4.5419795219511609e-04 3.3924426286382776e-04 -5.9503829600201792e-04
Fe14 3.1482978489861539e-05 9.4640762866240796e-04 1.1433064970485156e-04
Fe28 1.2846021765613080e-03 2.9233975086629895e-04 -9.1918897454889962e-04
Fe03 4.5780633694903812e-04 -9.1074108684226381e-04 1.1247517850273604e-03
Fe06 7.8059727251673450e-04 6.7304326777020966e-04 1.2714451797485291e-04
Fe01 -5.8114536545024042e-04 -2.6580871967292827e-04 9.9449111887327962e-04
Fe19 3.1080969384392762e-04 -7.4138072429444357e-04 -1.6979787010808597e-04
Fe26 -6.9588078264903972e-04 2.8916820240543044e-04 -5.1840811270068086e-04
Fe21 7.7120269422959440e-04 6.0996387374077400e-04 8.1994879166527796e-04
Fe22 1.3864077558231730e-03 -5.5160253118811898e-04 -5.9462062426851516e-04
Fe18 8.3523322972299345e-07 3.3725533417565639e-04 -1.3543998728098199e-04
Fe17 1.3800175309968142e-04 -6.3009643296681064e-04 -5.7522290474969892e-05
Fe25 1.2192775974217733e-04 -3.0273272924195957e-04 -8.5284845963421124e-04
Fe20 -3.0312308138491811e-05 -3.2352430509405473e-04 -1.3376866920653077e-03
Fe30 -1.3156313190906989e-04 7.1122190295377398e-04 -1.0371482412626642e-03
Fe24 -4.0649869900973158e-05 5.1340551429635939e-04 -1.1271847741069620e-03
Fe13 9.8200399145071489e-04 -3.2337150066221511e-04 4.2092521686198665e-04
Fe09 1.8968311096670187e-04 4.3391998075686754e-04 -2.4518836063825014e-04
Fe07 -4.4182461542809602e-04 -5.5993479260645226e-04 7.7398384001046831e-04
Fe05 -7.7591005210593436e-04 4.5187914555980382e-04 6.6981651021654159e-04
Fe15 -2.9259225661984966e-04 -6.3232235250451478e-04 -5.5747884347364469e-04
Fe11 -4.3871989591498685e-05 -1.6211268349534090e-04 -9.4559787867894976e-04
