step,temperature_K,pressure_GPa,scf_iterations,net_moment_muB,absolute_moment_muB,local_moment_mean_muB,scf_correction_percent,energy_Ry,scf_accuracy_Ry
1,4077.26178571,373.62,3.0,0.5435071296680477,56.18,1.6300436154533977,4.346893661948596,-10526.81142079,5.764e-05
2,3867.84769539,373.53200000000004,55.0,0.5143928459844674,56.2,1.6298100577759929,1.750676159998396,-10526.81699951,8.433e-05
3,3960.20588914,373.363,61.0,0.5177837386399847,56.24,1.6295124048991312,3.731910455863655,-10526.82234621,9.174e-05
4,4028.15388819,373.19,54.0,0.4985980344927164,56.25,1.6296171647288613,3.6590685656802484,-10526.83487488,6.13e-05
5,3936.80874317,373.495,133.0,0.4929503017546495,56.31,1.6290688999761906,2.193381792681681,-10526.8426997,7.277e-05
6,3923.78665985,373.446,37.0,0.45749316934791495,56.32,1.6284486564986138,3.421713595885218,-10526.84958581,8.065e-05
7,4010.71542859,373.04200000000003,152.0,0.4516635916254486,56.3,1.6268011797897524,2.7067926094066537,-10526.85890555,8.87e-05
8,3892.97546842,373.403,146.0,0.41012193308819755,56.33,1.62712241062725,3.7225421852291287,-10526.86973553,8.902e-05
9,3924.09423597,374.096,73.0,0.3790778284204973,56.33,1.6270821173774452,2.2171450800629673,-10526.88128284,9.621e-05
10,3762.82298838,374.026,183.0,0.3367491648096547,56.33,1.625760195225741,1.4624870750842676,-10526.88832949,9.758e-05
11,3855.95369837,373.276,31.0,0.30331501776206204,56.33,1.625139868236352,2.6791367413764484,-10526.89963804,7.977e-05
12,3716.01798589,373.009,125.0,0.2565151067676132,56.35,1.623951661686454,5.999701841497759,-10526.90639907,9.491e-05
13,3845.76254213,372.601,207.0,0.22494443758403984,56.34,1.6220717061834309,3.025533701065218,-10526.9137229,9.705e-05
14,3891.06611451,373.566,38.0,0.18055470085267789,56.36,1.6216463032725315,4.584230277476121,-10526.91657891,9.465e-05
15,3988.66523394,373.454,30.0,0.16881943016134132,56.31,1.6197042291689805,4.784810688117823,-10526.91769781,8.164e-05
16,3855.27206934,372.956,28.0,0.1746424919657298,56.28,1.6184355657679825,3.8815323595563327,-10526.92325258,8.417e-05
17,3852.73216031,373.861,29.0,0.1268857754044952,56.3,1.617312147852428,4.553893403102497,-10526.91509482,7.19e-05
18,3587.49320994,373.712,26.0,0.11661903789690602,56.28,1.6162146179512349,4.795478676276736,-10526.91265557,7.831e-05
19,3615.35397304,374.26599999999996,35.0,0.09643650760992956,56.25,1.6146457795139044,6.7867824994467725,-10526.91099815,9.786e-05
20,3670.51008725,373.911,180.0,0.06999999999999999,56.21,1.6130798243196947,1.8486584604912362,-10526.90950184,8.802e-05
21,3741.32155767,374.698,286.0,0.07071067811865477,56.21,1.6120182013741766,3.838783663283086,-10526.90774914,9.614e-05
22,3879.3680987,375.15500000000003,195.0,0.07280109889280519,56.17,1.610540695461644,2.7057349218042184,-10526.90814661,8.807e-05
23,3944.7263264,374.73,46.0,0.08124038404635961,56.13,1.6087113130392336,2.4994334026388656,-10526.90843911,5.499e-05
24,3991.94093116,375.456,49.0,0.10198039027185571,56.1,1.6078313958159882,4.098462829950694,-10526.91034394,8.063e-05
25,4151.75742757,375.33299999999997,89.0,0.1174734012447073,56.07,1.6064553145872646,1.8573121098609129,-10526.91132904,7.613e-05
26,4466.34598268,376.034,44.0,0.13,56.03,1.604970398758916,4.567836393999386,-10526.91044964,8.864e-05
27,4415.75761878,375.938,229.0,0.14212670403551894,55.97,1.602679632275891,2.6481068651371795,-10526.90504674,6.181e-05
28,4297.90023531,376.431,27.0,0.16309506430300091,55.94,1.6015398755322647,4.350582199975651,-10526.89874066,9.828e-05
29,3922.26182142,377.683,112.0,0.161245154965971,55.93,1.600312247122559,3.071717291411568,-10526.887545,6.318e-05
30,4034.8979877,377.25100000000003,32.0,0.18,55.88,1.5984456501506608,5.202377961754955,-10526.8831242,8.946e-05
31,4064.14666116,378.177,34.0,0.1881488772222678,55.87,1.5977034499830671,1.9407948498945866,-10526.87254508,9.21e-05
32,3962.08463771,378.204,112.0,0.20149441679609884,55.81,1.5957364276315462,1.9979037274981426,-10526.86024631,8.39e-05
33,3704.93421823,378.681,45.0,0.19723082923316018,55.81,1.5949958321606261,1.8981188936956206,-10526.85123264,7.095e-05
34,3364.79066099,378.706,538.0,0.20124611797498107,55.79,1.5940937882129118,2.4157723545434746,-10526.84561356,9.675e-05
35,3802.18480693,379.431,41.0,0.20346989949375807,55.81,1.5939230451535225,1.5695221545074685,-10526.84378234,7.511e-05
36,3881.07464442,379.316,22.0,0.2012461179749811,55.83,1.5937953139039034,5.841504930083682,-10526.84366045,8.07e-05
37,3636.88732834,378.87199999999996,22.0,0.19339079605813717,55.83,1.5934952408181537,5.466939220048545,-10526.84960923,8.893e-05
