frame_index,step,mean_bcc_score,mean_fcc_score,mean_hcp_score,smoothed_bcc_score,smoothed_fcc_score,smoothed_hcp_score,bcc_fraction,fcc_fraction,hcp_fraction,unknown_fraction,dominant_phase,transition_here
0,0,0.99651444,0.46669419,0.47354175,0.51035285,0.30139829,0.31367698,1.00000000,0.00000000,0.00000000,0.00000000,bcc,no
1,5,0.88375080,0.50961237,0.52987601,0.62298118,0.40894745,0.43054615,0.99218750,0.00000000,0.00000000,0.00781250,bcc,no
2,10,0.67149902,0.53068486,0.56496714,0.72670109,0.51712148,0.54996816,0.62500000,0.00000000,0.15625000,0.21875000,bcc,no
3,15,0.56314163,0.53774580,0.58434584,0.62612943,0.53173408,0.57576478,0.24218750,0.00000000,0.51562500,0.24218750,bcc,no
4,20,0.51859955,0.54087018,0.59711006,0.54496340,0.53702287,0.59055184,0.09375000,0.00000000,0.72656250,0.17968750,hcp,yes
5,25,0.49365615,0.53975720,0.60252486,0.50241468,0.53670260,0.59756443,0.06250000,0.00000000,0.81250000,0.12500000,hcp,no
6,30,0.47792066,0.53605633,0.60381129,0.47943401,0.53360588,0.59957667,0.03906250,0.00000000,0.86718750,0.09375000,hcp,no
7,35,0.45875542,0.52908347,0.60003012,0.46555847,0.52939342,0.59839327,0.00000000,0.00000000,0.93750000,0.06250000,hcp,no
8,40,0.44823826,0.52226224,0.59440702,0.45698931,0.52558092,0.59636911,0.00781250,0.00000000,0.94531250,0.04687500,hcp,no
9,45,0.44922188,0.51980787,0.59119306,0.45250275,0.52314480,0.59465902,0.02343750,0.00000000,0.92187500,0.05468750,hcp,no
10,50,0.45081032,0.52069468,0.59240403,0.45305648,0.52241252,0.59403435,0.00781250,0.00000000,0.92968750,0.06250000,hcp,no
11,55,0.45548786,0.52387573,0.59526088,0.45682276,0.52309185,0.59479105,0.00000000,0.00000000,0.93750000,0.06250000,hcp,no
12,60,0.46152407,0.52542208,0.59690675,0.45943249,0.52393031,0.59582359,0.00000000,0.00000000,0.92187500,0.07812500,hcp,no
13,65,0.46706965,0.52565890,0.59819055,0.46111499,0.52458520,0.59658112,0.01562500,0.00000000,0.92187500,0.06250000,hcp,no
14,70,0.46227054,0.52400018,0.59635576,0.46126897,0.52420966,0.59618768,0.00781250,0.00000000,0.91406250,0.07812500,hcp,no
15,75,0.45922282,0.52396913,0.59619168,0.45974740,0.52356672,0.59568742,0.00000000,0.00000000,0.93750000,0.06250000,hcp,no
16,80,0.45625775,0.52199801,0.59329366,0.45792810,0.52375341,0.59568599,0.00000000,0.00000000,0.93750000,0.06250000,hcp,no
17,85,0.45391626,0.52220738,0.59440543,0.45825870,0.52486057,0.59639910,0.01562500,0.00000000,0.96093750,0.02343750,hcp,no
18,90,0.45797313,0.52659233,0.59818340,0.46002823,0.52578779,0.59666187,0.00781250,0.00000000,0.93750000,0.05468750,hcp,no
19,95,0.46392356,0.52953602,0.59992131,0.46254235,0.52725354,0.59744915,0.01562500,0.00000000,0.92187500,0.06250000,hcp,no
20,100,0.46807043,0.52860521,0.59750553,0.46531207,0.52887096,0.59817485,0.02343750,0.00000000,0.89843750,0.07812500,hcp,no
21,105,0.46882838,0.52932676,0.59723005,0.46776845,0.53024480,0.59875154,0.00781250,0.00000000,0.85937500,0.13281250,hcp,no
22,110,0.46776484,0.53029447,0.59803393,0.46981395,0.53128809,0.59924967,0.02343750,0.00000000,0.89062500,0.08593750,hcp,no
23,115,0.47025504,0.53346153,0.60106686,0.46969863,0.53306961,0.60092854,0.02343750,0.00000000,0.88281250,0.09375000,hcp,no
24,120,0.47415104,0.53475248,0.60241199,0.46867773,0.53481025,0.60305204,0.03906250,0.00000000,0.85156250,0.10937500,hcp,no
25,125,0.46749384,0.53751280,0.60589988,0.46678452,0.53633512,0.60522607,0.02343750,0.00000000,0.92187500,0.05468750,hcp,no
26,130,0.46372386,0.53802998,0.60784755,0.46517183,0.53748173,0.60700077,0.00781250,0.00000000,0.93750000,0.05468750,hcp,no
27,135,0.45829880,0.53791881,0.60890409,0.46405336,0.53874507,0.60887090,0.00781250,0.00000000,0.96093750,0.03125000,hcp,no
28,140,0.46219163,0.53919459,0.60994035,0.46507978,0.53913857,0.60969044,0.02343750,0.00000000,0.92187500,0.05468750,hcp,no
29,145,0.46855865,0.54106917,0.61176264,0.46732764,0.53934559,0.61000319,0.01562500,0.00000000,0.91406250,0.07031250,hcp,no
30,150,0.47262597,0.53948030,0.60999759,0.47067781,0.53890978,0.60931712,0.02343750,0.00000000,0.88281250,0.09375000,hcp,no
31,155,0.47496316,0.53906506,0.60941125,0.47338469,0.53792221,0.60799690,0.03125000,0.00000000,0.88281250,0.08593750,hcp,no
