frame_index,step,mean_bcc_score,mean_fcc_score,mean_hcp_score,smoothed_bcc_score,smoothed_fcc_score,smoothed_hcp_score,bcc_fraction,fcc_fraction,hcp_fraction,unknown_fraction,dominant_phase,transition_here
0,0,0.35013608,0.84990611,0.71972865,0.22750646,0.49608092,0.44591780,0.00000000,1.00000000,0.00000000,0.00000000,unknown,no
1,5,0.38329267,0.83532094,0.75545907,0.31109183,0.64971755,0.59545837,0.00000000,0.97656250,0.00000000,0.02343750,fcc,yes
2,10,0.40410356,0.79517756,0.75440128,0.39632307,0.80131774,0.74451856,0.00000000,0.70312500,0.00781250,0.28906250,fcc,no
3,15,0.41792684,0.76818315,0.74770287,0.41190821,0.78128806,0.74853688,0.00000000,0.44531250,0.07812500,0.47656250,fcc,no
4,20,0.42615619,0.75800095,0.74530092,0.42054828,0.76374692,0.74433841,0.00000000,0.28906250,0.11718750,0.59375000,unknown,yes
5,25,0.42806180,0.74975771,0.73982029,0.42405305,0.75687711,0.74124149,0.00000000,0.25781250,0.10156250,0.64062500,unknown,no
6,30,0.42649303,0.74761522,0.73446672,0.42297411,0.75998766,0.74142143,0.00000000,0.28906250,0.06250000,0.64843750,unknown,no
7,35,0.42162741,0.76082853,0.73891668,0.41936137,0.76755836,0.74311162,0.00000000,0.36718750,0.03125000,0.60156250,fcc,yes
8,40,0.41253213,0.78373587,0.74860253,0.41508434,0.77565441,0.74594656,0.00000000,0.62500000,0.00000000,0.37500000,fcc,no
9,45,0.40809249,0.79585450,0.75375186,0.41230734,0.78204431,0.74912756,0.00000000,0.68750000,0.01562500,0.29687500,fcc,no
10,50,0.40667666,0.79023792,0.75399499,0.41162845,0.78451914,0.75081273,0.00000000,0.57812500,0.02343750,0.39843750,fcc,no
11,55,0.41260800,0.77956472,0.75037175,0.41380075,0.78125394,0.74994562,0.00000000,0.51562500,0.02343750,0.46093750,fcc,no
12,60,0.41823294,0.77320269,0.74734251,0.41811931,0.77390636,0.74720508,0.00000000,0.43750000,0.03125000,0.53125000,fcc,no
13,65,0.42339367,0.76740986,0.74426700,0.42220202,0.76610148,0.74344724,0.00000000,0.40625000,0.03906250,0.55468750,fcc,no
14,70,0.42968526,0.75911661,0.74004917,0.42485518,0.76022141,0.74041249,0.00000000,0.39843750,0.05468750,0.54687500,unknown,yes
15,75,0.42709023,0.75121354,0.73520578,0.42484639,0.75715111,0.73893427,0.00000000,0.36718750,0.09375000,0.53906250,unknown,no
16,80,0.42587381,0.75016436,0.73519801,0.42263580,0.75839290,0.73956278,0.00000000,0.31250000,0.10156250,0.58593750,unknown,no
17,85,0.41818898,0.75785117,0.73995141,0.41838717,0.76422007,0.74233255,0.00000000,0.35937500,0.05468750,0.58593750,fcc,yes
18,90,0.41234071,0.77361881,0.74740952,0.41484526,0.77255028,0.74679649,0.00000000,0.50000000,0.03906250,0.46093750,fcc,no
19,95,0.40844214,0.78825246,0.75389802,0.41204710,0.77993428,0.75102455,0.00000000,0.60937500,0.03906250,0.35156250,fcc,no
20,100,0.40938064,0.79286459,0.75752550,0.41062816,0.78418219,0.75327573,0.00000000,0.64843750,0.03125000,0.32031250,fcc,no
21,105,0.41188301,0.78708437,0.75633830,0.41128517,0.78395427,0.75350531,0.00000000,0.52343750,0.01562500,0.46093750,fcc,no
22,110,0.41109429,0.77909070,0.75120730,0.41354473,0.77889954,0.75150791,0.00000000,0.44531250,0.03125000,0.52343750,fcc,no
23,115,0.41562575,0.77247921,0.74855744,0.41569857,0.77238537,0.74863548,0.00000000,0.44531250,0.03906250,0.51562500,fcc,no
24,120,0.41973996,0.76297882,0.74391101,0.41732501,0.76765993,0.74610467,0.00000000,0.39062500,0.07812500,0.53125000,fcc,no
25,125,0.42014986,0.76029374,0.74316335,0.41844779,0.76563226,0.74486544,0.00000000,0.36718750,0.05468750,0.57812500,fcc,no
