phase,magnetic_state,category,source,path,natoms,total_frames,valid_frames,invalid_frames,valid_fraction,finite_energy_fraction,finite_temperature_fraction,finite_pressure_fraction,finite_force_fraction,finite_position_fraction,force_outlier_frames,force_outlier_fraction,force_outlier_threshold_eV_A,median_force_rms_eV_A,target_temperature_K,median_temperature_K,median_temperature_deviation_K,pressure_min_GPa,pressure_median_GPa,pressure_max_GPa,volume_per_atom_A3
BCC,non-magnetic,BCC nonmagnetic,2.29_4000K,dataset/bcc/non-mag/2.29_4000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.49447732839711,4.471139736467244,4000.0,3866.247802734375,-133.752197265625,510.4859924316406,528.4960327148438,538.5289916992188,6.004503551996008
BCC,non-magnetic,BCC nonmagnetic,2.29_4500K,dataset/bcc/non-mag/2.29_4500K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.577743833159715,4.622178164447853,4500.0,4236.72998046875,-263.27001953125,509.7470397949219,531.5240478515625,540.0480346679688,6.004503551996008
BCC,non-magnetic,BCC nonmagnetic,2.29_5000K,dataset/bcc/non-mag/2.29_5000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,6.1053675673526335,4.899928978910736,5000.0,4780.55419921875,-219.44580078125,508.2919921875,536.2670288085938,544.4130249023438,6.004503551996008
BCC,non-magnetic,BCC nonmagnetic,2.29_5500K,dataset/bcc/non-mag/2.29_5500K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,7.134257661850407,5.1572454932729075,5500.0,5275.11083984375,-224.88916015625,509.1180114746094,539.3759765625,546.3259887695312,6.004503551996008
BCC,non-magnetic,BCC nonmagnetic,2.29_6000K,dataset/bcc/non-mag/2.29_6000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,6.8329806586440895,5.482050495185388,6000.0,5722.583984375,-277.416015625,509.9870300292969,543.5490112304688,551.2940063476562,6.004503551996008
BCC,non-magnetic,BCC nonmagnetic,2.30_4000K,dataset/bcc/non-mag/2.30_4000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.46587224829697,4.349116152777584,4000.0,3908.99853515625,-91.00146484375,482.7509765625,504.3110046386719,511.4859924316406,6.0835206313290255
BCC,non-magnetic,BCC nonmagnetic,2.30_4500K,dataset/bcc/non-mag/2.30_4500K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.4178413331972735,4.502710675910151,4500.0,4067.182373046875,-432.817626953125,482.98199462890625,504.16900634765625,511.64703369140625,6.0835206313290255
BCC,non-magnetic,BCC nonmagnetic,2.30_5000K,dataset/bcc/non-mag/2.30_5000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.4178413331972735,4.502710675910151,5000.0,4067.182373046875,-932.817626953125,482.98199462890625,504.16900634765625,511.64703369140625,6.0835206313290255
BCC,non-magnetic,BCC nonmagnetic,2.30_5500K,dataset/bcc/non-mag/2.30_5500K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,6.230472238759825,5.068992908918644,5500.0,5207.76611328125,-292.23388671875,483.68902587890625,513.0990600585938,520.8980102539062,6.0835206313290255
BCC,non-magnetic,BCC nonmagnetic,2.30_6000K,dataset/bcc/non-mag/2.30_6000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,6.3172400253970835,5.421469404919979,6000.0,5768.98388671875,-231.01611328125,482.58599853515625,517.1740112304688,523.9039916992188,6.0835206313290255
BCC,non-magnetic,BCC nonmagnetic,2.31_4000K,dataset/bcc/non-mag/2.31_4000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.153025401749972,4.135487666296276,4000.0,3803.72509765625,-196.27490234375,458.7959899902344,477.2879943847656,484.9580078125,6.16322791145826
BCC,non-magnetic,BCC nonmagnetic,2.31_4500K,dataset/bcc/non-mag/2.31_4500K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.7359352263799535,4.4981553802668,4500.0,4250.7109375,-249.2890625,458.9660339355469,480.1730041503906,487.41802978515625,6.16322791145826
BCC,non-magnetic,BCC nonmagnetic,2.31_5000K,dataset/bcc/non-mag/2.31_5000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.971421457420537,4.809355082256797,5000.0,4707.67822265625,-292.32177734375,458.23101806640625,483.43798828125,491.7549743652344,6.16322791145826
BCC,non-magnetic,BCC nonmagnetic,2.31_5500K,dataset/bcc/non-mag/2.31_5500K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,6.277754094467369,5.0724181887725805,5500.0,5242.5908203125,-257.4091796875,457.44903564453125,488.5009765625,498.5169982910156,6.16322791145826
BCC,non-magnetic,BCC nonmagnetic,2.31_6000K,dataset/bcc/non-mag/2.31_6000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,7.014395249344238,5.260064692541169,6000.0,5525.9208984375,-474.0791015625,458.843017578125,491.3580017089844,498.7970275878906,6.16322791145826
BCC,non-magnetic,BCC nonmagnetic,2.32_4000K,dataset/bcc/non-mag/2.32_4000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.142761817294997,4.106609798713284,4000.0,3679.926025390625,-320.073974609375,434.7950134277344,452.2439880371094,458.7680358886719,6.243628393688242
BCC,non-magnetic,BCC nonmagnetic,2.32_4500K,dataset/bcc/non-mag/2.32_4500K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.620314523332299,4.525704530002601,4500.0,4254.58447265625,-245.41552734375,435.2680358886719,458.3310241699219,463.7890319824219,6.243628393688242
BCC,non-magnetic,BCC nonmagnetic,2.32_5000K,dataset/bcc/non-mag/2.32_5000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.56452309324095,4.691538740882764,5000.0,4725.05224609375,-274.94775390625,433.74200439453125,460.3000183105469,470.0810241699219,6.243628393688242
BCC,non-magnetic,BCC nonmagnetic,2.32_5500K,dataset/bcc/non-mag/2.32_5500K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,6.242159446076856,5.0782929159364425,5500.0,5448.58984375,-51.41015625,434.083984375,466.239990234375,472.23199462890625,6.243628393688242
