phase,magnetic_state,source,path,natoms,total_frames,valid_frames,volume_per_atom_A3,target_temperature_K,mean_temperature_K,min_temperature_K,max_temperature_K,mean_pressure_GPa,min_pressure_GPa,max_pressure_GPa,mean_energy_eV_atom,min_energy_eV_atom,max_energy_eV_atom,mean_force_rms_eV_A,mean_displacement_rms_A,mean_abs_magnetization_Bohr_atom
BCC,non-magnetic,2.29_4000K,dataset/bcc/non-mag/2.29_4000K.npz,128,400,399,6.004503551996008,4000.0,3820.5540070880324,2209.444091796875,4740.8779296875,528.6301924244204,510.4859924316406,538.5289916992188,-4474.808872177774,-4474.926803312401,-4474.626340775891,4.397722623033564,0.32182560071752003,0.0
BCC,non-magnetic,2.29_4500K,dataset/bcc/non-mag/2.29_4500K.npz,128,400,399,6.004503551996008,4500.0,4204.602947187304,2395.278564453125,5162.83837890625,531.537668710962,509.7470397949219,540.0480346679688,-4474.744678483953,-4474.920332310876,-4474.582267331559,4.547923346575636,0.3177528551302577,0.0
BCC,non-magnetic,2.29_5000K,dataset/bcc/non-mag/2.29_5000K.npz,128,400,399,6.004503551996008,5000.0,4733.35728664924,2448.40283203125,6102.43994140625,536.141163073088,508.2919921875,544.4130249023438,-4474.643372956744,-4474.919669666856,-4474.4941497100135,4.863930035856047,0.31264387348500045,0.0
BCC,non-magnetic,2.29_5500K,dataset/bcc/non-mag/2.29_5500K.npz,128,400,399,6.004503551996008,5500.0,5213.624585756384,2886.844482421875,6309.65283203125,538.8138755090852,509.1180114746094,546.3259887695312,-4474.593390330683,-4474.9199448930185,-4474.467300556439,5.087749307437324,0.3287534897182098,0.0
BCC,non-magnetic,2.29_6000K,dataset/bcc/non-mag/2.29_6000K.npz,128,400,399,6.004503551996008,6000.0,5635.894538592575,3114.314208984375,6817.1552734375,543.0342644330553,509.9870300292969,551.2940063476562,-4474.502727128668,-4474.918871700402,-4474.354651462229,5.392841905902854,0.3237668025737258,0.0
BCC,non-magnetic,2.30_4000K,dataset/bcc/non-mag/2.30_4000K.npz,128,400,399,6.0835206313290255,4000.0,3884.430958377389,2350.00244140625,4724.6240234375,504.37862027199344,482.7509765625,511.4859924316406,-4475.0026722511175,-4475.1696222947085,-4474.887067293908,4.287024156105256,0.299762200924505,0.0
BCC,non-magnetic,2.30_4500K,dataset/bcc/non-mag/2.30_4500K.npz,128,400,399,6.0835206313290255,4500.0,4031.0771004048206,2020.5177001953125,4935.34765625,504.3489300338248,482.98199462890625,511.64703369140625,-4475.012625229858,-4475.168935013756,-4474.85021493402,4.423446585925194,0.3258301539209293,0.0
BCC,non-magnetic,2.30_5000K,dataset/bcc/non-mag/2.30_5000K.npz,128,400,399,6.0835206313290255,5000.0,4031.0771004048206,2020.5177001953125,4935.34765625,504.3489300338248,482.98199462890625,511.64703369140625,-4475.012625229858,-4475.168935013756,-4474.85021493402,4.423446585925194,0.3258301539209293,0.0
BCC,non-magnetic,2.30_5500K,dataset/bcc/non-mag/2.30_5500K.npz,128,400,399,6.0835206313290255,5500.0,5191.124353241502,2575.075927734375,6603.01708984375,512.5190636962278,483.68902587890625,520.8980102539062,-4474.843364884784,-4475.168160443779,-4474.674038652477,4.996592052564094,0.3282317808154675,0.0
BCC,non-magnetic,2.30_6000K,dataset/bcc/non-mag/2.30_6000K.npz,128,400,399,6.0835206313290255,6000.0,5671.653359472901,2588.34375,6582.634765625,516.8894839179247,482.58599853515625,523.9039916992188,-4474.7540827784605,-4475.166729588318,-4474.637943525937,5.33383521677035,0.3326912348959172,0.0
BCC,non-magnetic,2.31_4000K,dataset/bcc/non-mag/2.31_4000K.npz,128,400,399,6.16322791145826,4000.0,3730.3685073278903,2159.76025390625,4430.31591796875,477.02353685422054,458.7959899902344,484.9580078125,-4475.308454006118,-4475.454429007939,-4475.11746498642,4.081968053772266,0.3392017987207495,0.0
BCC,non-magnetic,2.31_4500K,dataset/bcc/non-mag/2.31_4500K.npz,128,400,399,6.16322791145826,4500.0,4183.375704275337,2416.314453125,5211.181640625,480.0720614861127,458.9660339355469,487.41802978515625,-4475.247394545722,-4475.409267445119,-4475.070895175912,4.418492297548187,0.3519706074855568,0.0
BCC,non-magnetic,2.31_5000K,dataset/bcc/non-mag/2.31_5000K.npz,128,400,399,6.16322791145826,5000.0,4642.21882281387,3143.70849609375,5861.697265625,483.0804904564879,458.23101806640625,491.7549743652344,-4475.181081732707,-4475.409354768158,-4475.033425707495,4.7019631531530415,0.333747131504798,0.0
