phase,folder,total_volume_A3,volume_per_atom_A3,mean_md_pressure_GPa,std_md_pressure_GPa,pressure_from_md_bm_fit_GPa
BCC,tdep_2.31_5000K,12.326390083997751,6.1631950419988755,483.0804904564879,4.127669796092854,483.9669280068112
BCC,tdep_2.32_5000K,12.487166922058137,6.243583461029068,460.5248403142867,4.21250028145278,460.18007275358167
BCC,tdep_2.33_5000K,12.649335757423444,6.324667878711722,438.2452869080661,4.04058625526388,437.466867233682
BCC,tdep_2.34_5000K,12.812902590076499,6.4064512950382495,416.6873237781955,4.021894418199524,415.777184810101
BCC,tdep_2.35_5000K,12.977873420000142,6.488936710000071,393.0939955173578,3.4397487676067247,395.06338792070864
BCC,tdep_2.36_5000K,13.144254247177203,6.572127123588602,375.97796064869203,4.391025567415927,375.2801957839311
BCC,tdep_2.37_5000K,13.312051071590515,6.656025535795258,356.2263563724986,3.8242835844783123,356.3845596279624
BCC,tdep_2.38_5000K,13.481273944717499,6.740636972358749,340.10520120491657,4.095638431052425,338.3351244439858
BCC,tdep_2.39_5000K,13.651920797669487,6.825960398834743,320.4142134817023,4.346528915511359,321.09381890202366
BCC,tdep_2.40_5000K,13.824001647949283,6.912000823974641,304.2700837787829,4.055135195162848,304.62316998422233
BCC,tdep_2.41_5000K,13.997522495539716,6.998761247769858,289.270833639274,3.9850276224897074,288.88794438701126
BCC,tdep_2.42_5000K,14.172489340423624,7.086244670211812,273.6000440019115,4.144329072584761,273.8546148232415
BCC,tdep_2.43_5000K,14.34890818258384,7.17445409129192,259.56302885662643,3.9924428803941274,259.4912717683285
BCC,tdep_2.44_5000K,14.526785022003198,7.263392511001599,244.08476731532198,4.102237035723706,245.76754008700516
BCC,tdep_2.45_5000K,14.706125858664533,7.353062929332267,231.10551181114408,4.414534491035241,232.65450025277408
BCC,tdep_2.46_5000K,14.886936692550668,7.443468346275334,222.03263958235434,4.677213848033388,220.1246138902198
BCC,tdep_2.47_5000K,15.069223523644448,7.534611761822224,208.7691814833715,4.833006892874924,208.15165338718586
BCC,tdep_2.48_5000K,15.252992351928711,7.6264961759643555,197.33388276446732,4.93189964870323,196.71063533958244
BCC,tdep_2.49_5000K,15.43824917738628,7.71912458869314,185.20798742920533,4.229214236342973,185.777757606275
HCP,tdep_a_2.14_c_3.40_5000K,13.484571493458748,6.742285746729374,329.92176065468846,5.782336912595618,331.58163735145564
HCP,tdep_a_2.14_c_3.42_5000K,13.563892424372499,6.7819462121862495,326.4462340696712,6.6471832216017495,324.0128247399126
HCP,tdep_a_2.16_c_3.40_5000K,13.737797098365444,6.868898549182722,308.10559892773927,6.204251648918427,307.94041325581514
HCP,tdep_a_2.16_c_3.42_5000K,13.818607590198662,6.909303795099331,299.57465020277743,6.251045074070098,300.70798813815196
HCP,tdep_a_2.18_c_3.42_5000K,14.075692197063086,7.037846098531543,278.72963766227093,5.946340305451674,278.6486708567297
HCP,tdep_a_2.20_c_3.42_5000K,14.335146244965767,7.167573122482883,257.8845359400699,5.28666835421116,257.77085373410284
