frame_index,step,mean_bcc_score,mean_fcc_score,mean_hcp_score,smoothed_bcc_score,smoothed_fcc_score,smoothed_hcp_score,bcc_fraction,fcc_fraction,hcp_fraction,unknown_fraction,dominant_phase,transition_here
0,0,0.59657423,0.51440085,0.56593881,0.33916453,0.31511519,0.34565775,0.58593750,0.00000000,0.00000000,0.41406250,unknown,no
1,5,0.55800485,0.52673557,0.57765119,0.44491766,0.42417455,0.46477207,0.04687500,0.00000000,0.34375000,0.60937500,unknown,no
2,10,0.54124359,0.53443951,0.58469878,0.54994482,0.53556261,0.58685341,0.04687500,0.00000000,0.59375000,0.35937500,hcp,yes
3,15,0.52876563,0.54529680,0.59557157,0.53254459,0.54549121,0.59809139,0.04687500,0.00000000,0.71875000,0.23437500,hcp,no
4,20,0.52513579,0.55694033,0.61040670,0.51849482,0.55267875,0.60773385,0.02343750,0.00000000,0.76562500,0.21093750,hcp,no
5,25,0.50957306,0.56404386,0.62212872,0.50493160,0.55701638,0.61517376,0.00781250,0.00000000,0.85156250,0.14062500,hcp,no
6,30,0.48775603,0.56267323,0.62586348,0.49385428,0.55825722,0.61981635,0.00000000,0.00000000,0.94531250,0.05468750,hcp,no
7,35,0.47342748,0.55612766,0.62189835,0.48340689,0.55710714,0.62133672,0.00000000,0.00000000,0.92968750,0.07031250,hcp,no
8,40,0.47337902,0.55150100,0.61878451,0.47638097,0.55461336,0.62049232,0.00000000,0.00000000,0.95312500,0.04687500,hcp,no
9,45,0.47289887,0.55118993,0.61800856,0.47246022,0.55323078,0.61971278,0.00000000,0.00000000,0.94531250,0.05468750,hcp,no
10,50,0.47444342,0.55157500,0.61790672,0.47186594,0.55406697,0.62072943,0.00000000,0.00000000,0.92968750,0.07031250,hcp,no
11,55,0.46815229,0.55576032,0.62196576,0.47081380,0.55639456,0.62335191,0.00000000,0.00000000,0.95312500,0.04687500,hcp,no
12,60,0.47045611,0.56030861,0.62698161,0.46908816,0.55925409,0.62687196,0.00000000,0.00000000,0.93750000,0.06250000,hcp,no
13,65,0.46811832,0.56313893,0.63189691,0.46673363,0.56261309,0.63111113,0.00781250,0.00000000,0.94531250,0.04687500,hcp,no
14,70,0.46427066,0.56548761,0.63560878,0.46525014,0.56600011,0.63540063,0.00781250,0.00000000,0.95312500,0.03906250,hcp,no
15,75,0.46267078,0.56836997,0.63910260,0.46410220,0.56960055,0.63971077,0.00000000,0.00000000,0.95312500,0.04687500,hcp,no
16,80,0.46073483,0.57269543,0.64341326,0.46451868,0.57305994,0.64367749,0.00000000,0.00000000,0.95312500,0.04687500,hcp,no
17,85,0.46471640,0.57831081,0.64853231,0.46577414,0.57608815,0.64716138,0.00781250,0.00000000,0.96875000,0.02343750,hcp,no
18,90,0.47020073,0.58043585,0.65173051,0.46648070,0.57987293,0.65146006,0.00781250,0.00000000,0.97656250,0.01562500,hcp,no
19,95,0.47054794,0.58062868,0.65302824,0.46657679,0.58449873,0.65712697,0.00000000,0.00000000,0.98437500,0.01562500,hcp,no
20,100,0.46620360,0.58729386,0.66059599,0.46478679,0.58948119,0.66342805,0.00000000,0.00000000,0.97656250,0.02343750,hcp,no
21,105,0.46121529,0.59582445,0.67174780,0.46175651,0.59481089,0.66946381,0.00000000,0.00000000,0.99218750,0.00781250,hcp,no
22,110,0.45576640,0.60322310,0.68003773,0.46029762,0.60008300,0.67460308,0.00000000,0.00000000,0.96093750,0.03906250,hcp,no
23,115,0.45504931,0.60708437,0.68190929,0.46081313,0.60404841,0.67778148,0.00000000,0.00000000,0.94531250,0.05468750,hcp,no
24,120,0.46325350,0.60698922,0.67872462,0.46293486,0.60740334,0.67967762,0.00781250,0.00000000,0.92968750,0.06250000,hcp,no
25,125,0.46878117,0.60712091,0.67648798,0.46622309,0.61064353,0.68124492,0.00781250,0.00000000,0.89062500,0.10156250,hcp,no
26,130,0.47182393,0.61259908,0.68122847,0.46867892,0.61365341,0.68305329,0.00781250,0.00000000,0.90625000,0.08593750,hcp,no
27,135,0.47220752,0.61942406,0.68787423,0.46859322,0.61607588,0.68537865,0.00781250,0.00000000,0.90625000,0.08593750,hcp,no
28,140,0.46732849,0.62213380,0.69095116,0.46820563,0.61786273,0.68819962,0.00000000,0.00000000,0.88281250,0.11718750,hcp,no
29,145,0.46282499,0.61910156,0.69035144,0.46677746,0.61891084,0.69074301,0.00781250,0.00000000,0.90625000,0.08593750,hcp,no
30,150,0.46684319,0.61605514,0.69059281,0.46495072,0.61929884,0.69303769,0.00781250,0.00000000,0.91406250,0.07812500,hcp,no
31,155,0.46468309,0.61783962,0.69394542,0.46293896,0.62006170,0.69605854,0.01562500,0.00000000,0.94531250,0.03906250,hcp,no
32,160,0.46307382,0.62136410,0.69934764,0.46092945,0.62235392,0.70056444,0.00000000,0.00000000,0.95312500,0.04687500,hcp,no
33,165,0.45726971,0.62594810,0.70605541,0.45751305,0.62582832,0.70554426,0.00000000,0.00000000,0.96093750,0.03906250,hcp,no
34,170,0.45277743,0.63056263,0.71288094,0.45481811,0.62919334,0.70948496,0.00000000,0.00000000,0.96093750,0.03906250,hcp,no
35,175,0.44976118,0.63342717,0.71549192,0.45304076,0.63191573,0.71189084,0.00000000,0.00000000,0.94531250,0.05468750,hcp,no
36,180,0.45120841,0.63466468,0.71364889,0.45330656,0.63411207,0.71286393,0.00000000,0.00000000,0.92187500,0.07812500,hcp,no
37,185,0.45418709,0.63497609,0.71137706,0.45471481,0.63608331,0.71269833,0.00000000,0.00000000,0.92187500,0.07812500,hcp,no
38,190,0.45859871,0.63692979,0.71092082,0.45648199,0.63770344,0.71230933,0.00000000,0.00000000,0.89062500,0.10937500,hcp,no
39,195,0.45981866,0.64041880,0.71205299,0.45788955,0.63845256,0.71202931,0.00000000,0.00000000,0.84375000,0.15625000,hcp,no
40,200,0.45859711,0.64152785,0.71354687,0.45841933,0.63788698,0.71090750,0.00000000,0.00000000,0.85156250,0.14843750,hcp,no
41,205,0.45824620,0.63841028,0.71224882,0.45817455,0.63554735,0.70837481,0.00000000,0.00000000,0.85937500,0.14062500,hcp,no
42,210,0.45683596,0.63214821,0.70576801,0.45809491,0.63202994,0.70535537,0.00000000,0.00000000,0.89062500,0.10937500,hcp,no
43,215,0.45737483,0.62523161,0.69825737,0.45786162,0.62952553,0.70355572,0.00000000,0.00000000,0.88281250,0.11718750,hcp,no
44,220,0.45942047,0.62283175,0.69695575,0.45776639,0.62849359,0.70321815,0.00000000,0.00000000,0.90625000,0.09375000,hcp,no
45,225,0.45743064,0.62900580,0.70454863,0.45754782,0.62938009,0.70506920,0.00000000,0.00000000,0.92187500,0.07812500,hcp,no
46,230,0.45777004,0.63325060,0.71056100,0.45713288,0.63185617,0.70875504,0.00000000,0.00000000,0.92968750,0.07031250,hcp,no
47,235,0.45574312,0.63658071,0.71502325,0.45574854,0.63413657,0.71181808,0.00000000,0.00000000,0.92968750,0.07031250,hcp,no
48,240,0.45530012,0.63761197,0.71668659,0.45579279,0.63467027,0.71236268,0.00000000,0.00781250,0.92968750,0.06250000,hcp,no
49,245,0.45249876,0.63423378,0.71227094,0.45675794,0.63514203,0.71184986,0.00000000,0.00781250,0.92187500,0.07031250,hcp,no
50,250,0.45765189,0.63167431,0.70727164,0.45830696,0.63579738,0.71112795,0.00000000,0.00781250,0.87500000,0.11718750,hcp,no
51,255,0.46259580,0.63560937,0.70799690,0.45916124,0.63672006,0.71020749,0.00781250,0.00000000,0.85156250,0.14062500,hcp,no
52,260,0.46348822,0.63985745,0.71141370,0.45988130,0.63866903,0.71049699,0.00781250,0.00000000,0.85937500,0.13281250,hcp,no
53,265,0.45957153,0.64222539,0.71208426,0.45792812,0.64190509,0.71285013,0.00781250,0.00000000,0.82812500,0.16406250,hcp,no
54,270,0.45609904,0.64397864,0.71371843,0.45497836,0.64578320,0.71695980,0.00000000,0.00000000,0.81250000,0.18750000,hcp,no
55,275,0.44788599,0.64785459,0.71903735,0.45152006,0.65006026,0.72173953,0.00000000,0.00000000,0.81250000,0.18750000,hcp,no
56,280,0.44784703,0.65499994,0.72854525,0.44865955,0.65404061,0.72678600,0.00781250,0.00000000,0.84375000,0.14843750,hcp,no
57,285,0.44619673,0.66124277,0.73531235,0.44651952,0.65713078,0.73146967,0.00000000,0.00000000,0.83593750,0.16406250,hcp,no
58,290,0.44526895,0.66212711,0.73731661,0.44589881,0.65862632,0.73442914,0.00000000,0.00781250,0.83593750,0.15625000,hcp,no
59,295,0.44539888,0.65942947,0.73713678,0.44491414,0.65822417,0.73492878,0.00000000,0.00781250,0.86718750,0.12500000,hcp,no
60,300,0.44478244,0.65533231,0.73383471,0.44511769,0.65638586,0.73369564,0.00000000,0.00781250,0.84375000,0.14843750,hcp,no
61,305,0.44292372,0.65298922,0.73104344,0.44515230,0.65441729,0.73199087,0.00000000,0.00000000,0.85937500,0.14062500,hcp,no
62,310,0.44721445,0.65205121,0.72914667,0.44546497,0.65303711,0.73007710,0.00000000,0.00000000,0.85937500,0.14062500,hcp,no
63,315,0.44544199,0.65228423,0.72879275,0.44645661,0.65257833,0.72896745,0.00000000,0.00000000,0.86718750,0.13281250,hcp,no
64,320,0.44696225,0.65252856,0.72756795,0.44742066,0.65224432,0.72825328,0.00000000,0.00000000,0.88281250,0.11718750,hcp,no
65,325,0.44974063,0.65303845,0.72828645,0.44798095,0.65167168,0.72762687,0.00000000,0.00000000,0.85937500,0.14062500,hcp,no
66,330,0.44774398,0.65131916,0.72747259,0.44800996,0.65072485,0.72674825,0.00000000,0.00000000,0.86718750,0.13281250,hcp,no
67,335,0.45001593,0.64918799,0.72601462,0.44775703,0.64960653,0.72569925,0.00000000,0.00781250,0.88281250,0.10937500,hcp,no
68,340,0.44558702,0.64755011,0.72439965,0.44692129,0.64750397,0.72376533,0.00000000,0.00000000,0.85156250,0.14843750,hcp,no
69,345,0.44569759,0.64693696,0.72232295,0.44626472,0.64457797,0.72126009,0.00000000,0.00000000,0.87500000,0.12500000,hcp,no
70,350,0.44556193,0.64252565,0.71861686,0.44568030,0.64127624,0.71850334,0.00000000,0.00000000,0.90625000,0.09375000,hcp,no
71,355,0.44446114,0.63668912,0.71494636,0.44609576,0.63840049,0.71636429,0.00000000,0.00000000,0.88281250,0.11718750,hcp,no
72,360,0.44709383,0.63267934,0.71223090,0.44616681,0.63741255,0.71641009,0.00000000,0.00000000,0.87500000,0.12500000,hcp,no
73,365,0.44766429,0.63317136,0.71370439,0.44601104,0.63970591,0.71941476,0.00000000,0.00000000,0.89843750,0.10156250,hcp,no
74,370,0.44605284,0.64199727,0.72255195,0.44503795,0.64527157,0.72509385,0.00000000,0.00000000,0.88281250,0.11718750,hcp,no
75,375,0.44478311,0.65399247,0.73364020,0.44323549,0.65263644,0.73233154,0.00000000,0.00000000,0.87500000,0.12500000,hcp,no
76,380,0.43959566,0.66451741,0.74334179,0.44160710,0.65992157,0.73956387,0.00000000,0.00000000,0.87500000,0.12500000,hcp,no
77,385,0.43808156,0.66950368,0.74841939,0.44071548,0.66507164,0.74460742,0.00000000,0.00781250,0.85156250,0.14062500,hcp,no
78,390,0.43952234,0.66959704,0.74986603,0.35175886,0.53427314,0.59787938,0.00000000,0.00781250,0.84375000,0.14843750,hcp,no
79,395,0.44159473,0.66774757,0.74776972,0.26383972,0.40136966,0.44921103,0.00000000,0.00000000,0.84375000,0.15625000,unknown,no
