md_step,scf_iterations,final_accuracy_ry,mx_muB_cell,my_muB_cell,mz_muB_cell,absolute_muB_cell,absolute_muB_atom
3,27,0.00370102,-3.82,-0.47,-1.92,17.07,0.3161111111111111
4,8,0.00296745,-4.2,-0.65,-2.16,17.57,0.32537037037037037
5,10,0.00370071,-4.42,-0.75,-2.37,18.06,0.33444444444444443
6,14,0.00248617,-4.55,-0.76,-2.62,18.67,0.3457407407407408
7,8,0.0024373,-4.5,-0.67,-2.79,18.97,0.3512962962962963
8,13,0.00256993,-4.35,-0.49,-2.96,19.38,0.35888888888888887
9,10,0.00287349,-4.18,-0.35,-3.06,19.62,0.36333333333333334
10,13,0.00135621,-3.98,-0.14,-3.23,19.91,0.3687037037037037
11,8,0.00313172,-3.83,-0.01,-3.35,19.95,0.3694444444444444
12,14,0.00211486,-3.56,0.26,-3.62,19.87,0.367962962962963
13,8,0.00238189,-3.36,0.41,-3.79,19.72,0.36518518518518517
14,15,0.00169014,-2.99,0.67,-4.12,19.42,0.3596296296296297
15,8,0.00387017,-2.73,0.85,-4.34,19.24,0.3562962962962963
16,18,0.00295239,-2.3,1.12,-4.64,18.97,0.3512962962962963
17,10,0.0029734,-1.92,1.3,-4.84,18.69,0.34611111111111115
18,8,0.00394781,-1.61,1.41,-4.9,18.41,0.3409259259259259
19,13,0.00250555,-0.93,1.57,-4.95,17.73,0.32833333333333337
20,11,0.00398966,-0.54,1.6,-4.91,17.3,0.32037037037037036
21,15,0.00364192,-0.16,1.58,-4.79,16.79,0.3109259259259259
22,10,0.00249758,-0.02,1.55,-4.67,16.49,0.30537037037037035
23,9,0.00383819,0.11,1.52,-4.53,16.11,0.29833333333333334
24,18,0.00339912,0.29,1.48,-4.25,15.47,0.2864814814814815
25,9,0.00296474,0.41,1.48,-4.11,15.21,0.2816666666666667
26,10,0.00330234,0.51,1.47,-4.01,15.02,0.27814814814814814
27,14,0.00288624,0.69,1.48,-3.85,14.81,0.27425925925925926
28,8,0.00367918,0.79,1.48,-3.74,14.71,0.27240740740740743
29,15,0.00305245,1.03,1.5,-3.48,14.48,0.26814814814814814
30,9,0.00276968,1.14,1.51,-3.32,14.37,0.2661111111111111
31,20,0.00320075,1.31,1.56,-3.1,14.35,0.2657407407407407
32,7,0.00278131,1.36,1.57,-2.99,14.31,0.265
33,16,0.00394469,1.38,1.55,-2.83,14.19,0.2627777777777778
34,12,0.00250161,1.35,1.51,-2.72,14.11,0.2612962962962963
35,13,0.00327614,1.25,1.41,-2.53,13.93,0.25796296296296295
36,12,0.00395787,1.12,1.33,-2.44,13.84,0.2562962962962963
37,14,0.00089454,0.75,1.08,-2.26,13.72,0.25407407407407406
38,6,0.00313686,0.51,0.92,-2.15,13.67,0.2531481481481481
39,9,0.00388411,0.21,0.73,-2.03,13.58,0.2514814814814815
40,14,0.00189292,-0.32,0.37,-1.81,13.47,0.24944444444444447
41,6,0.00298583,-0.54,0.21,-1.7,13.43,0.2487037037037037
42,14,0.00251669,-0.84,0.01,-1.55,13.33,0.24685185185185185
43,7,0.00345899,-0.95,-0.08,-1.45,13.23,0.245
44,15,0.00252418,-1.04,-0.17,-1.32,13.03,0.2412962962962963
45,11,0.00394074,-1.05,-0.21,-1.24,12.83,0.2375925925925926
46,8,0.00389646,-1.04,-0.21,-1.2,12.64,0.23407407407407407
47,13,0.00333673,-0.99,-0.2,-1.13,12.32,0.22814814814814816
48,8,0.00252703,-0.95,-0.18,-1.13,12.13,0.22462962962962965
49,14,0.00352362,-0.89,-0.14,-1.15,11.89,0.2201851851851852
50,22,0.00356859,-0.84,-0.09,-1.25,11.75,0.2175925925925926
51,15,0.00393263,-0.76,-0.02,-1.36,11.76,0.21777777777777776
52,10,0.00321729,-0.66,0.07,-1.46,11.81,0.2187037037037037
53,14,0.0034833,-0.42,0.27,-1.66,12.04,0.22296296296296295
54,26,0.00122726,-0.08,0.56,-1.97,12.51,0.23166666666666666
55,16,0.00357021,0.16,0.77,-2.23,12.91,0.23907407407407408
56,5,0.00339034,0.27,0.88,-2.37,13.11,0.24277777777777776
57,10,0.00225758,0.37,0.97,-2.51,13.34,0.24703703703703703
58,9,0.00390841,0.43,1.06,-2.67,13.55,0.25092592592592594
59,8,0.00364817,0.42,1.07,-2.77,13.68,0.25333333333333335
60,15,0.00322412,0.35,1.08,-2.92,13.74,0.2544444444444445
61,16,0.00348773,0.23,1.03,-3.01,13.8,0.2555555555555556
62,14,0.0017956,0.13,0.99,-3.03,13.79,0.25537037037037036
63,7,0.0033009,0.1,0.96,-3.02,13.71,0.2538888888888889
64,7,0.0025959,0.1,0.95,-3.0,13.52,0.25037037037037035
65,14,0.00253112,0.17,0.98,-2.96,13.18,0.24407407407407408
66,8,0.00151231,0.28,1.05,-2.95,12.92,0.23925925925925925
