run,scf_iteration,mixing_beta,energy_ry,estimated_scf_accuracy_ry,mx_muB_cell,my_muB_cell,mz_muB_cell,net_magnetization_muB_cell,absolute_magnetization_muB_cell,absolute_magnetization_muB_atom
try1,1,0.1,-41383.59415753,32322.03286089,0.13,-2.75,-0.49,2.79633688957536,2344.67,18.317734375
try1,2,0.1,-42062.45828096,403.90958395,-0.15,-5.93,-0.55,5.957340010440902,161.97,1.265390625
try1,3,0.1,-42084.13196718,276.37565922,-1.22,-4.57,1.68,5.019531850680898,145.03,1.133046875
try1,4,0.1,-42090.37155735,217.54238202,-1.73,-5.76,1.59,6.220819881655472,131.52,1.0275
try1,5,0.1,-42095.74672744,174.03061301,-1.85,-5.01,1.37,5.5135741583840145,118.58,0.92640625
try1,6,0.1,-42101.26279214,133.08816425,-2.09,-4.35,0.75,4.88396355432757,105.81,0.826640625
try1,7,0.1,-42105.88070088,87.48659151,-2.95,-2.31,-0.15,3.749813328687176,91.3,0.71328125
try1,8,0.1,-42107.32229447,57.30509079,-3.56,-1.51,0.96,3.9843820097977556,80.85,0.631640625
try1,9,0.1,-42107.82899805,46.92970877,-0.82,-1.68,-3.08,3.602943241295927,77.46,0.60515625
try1,10,0.1,-42109.55106809,41.82493991,-0.54,-2.08,-0.49,2.204109797628058,71.21,0.556328125
try1,11,0.1,-42110.76806793,38.56183187,-1.32,-0.98,1.41,2.165848563496534,68.39,0.534296875
try1,12,0.1,-42110.77935697,29.36878003,-1.3,0.46,-1.35,1.9297927349847703,70.53,0.551015625
try1,13,0.1,-42110.77595312,26.06159737,-1.37,-0.06,-3.35,3.6198066246693346,66.19,0.517109375
try1,14,0.1,-42115.51905456,24.64923474,-0.3,0.04,5.28,5.288667128870941,62.86,0.49109375
try1,15,0.1,-42066.58290666,478.69465246,1.12,12.53,44.84,46.57124542032347,363.05,2.836328125
try1,16,0.1,-42367.55100698,132.86273664,-6.39,4.68,3.76,8.767673579690339,291.73,2.279140625
try1,17,0.1,-42368.1063548,118.11329626,-5.39,4.26,7.76,10.364231761206423,281.16,2.1965625
try1,18,0.1,-42360.10485044,114.56306369,-3.95,3.8,7.58,9.35408466927684,278.37,2.174765625
try1,19,0.1,-42266.37198343,109.83160635,-5.92,5.24,8.78,11.81492276741579,274.39,2.143671875
try1,20,0.1,-42316.22315,88.68357281,-8.13,-6.57,22.68,24.972869278478996,256.13,2.001015625
try1,21,0.1,-41302.88994794,1171.89197301,-34.22,0.65,64.72,73.2127673292029,284.84,2.2253125
try1,22,0.1,-42063.04095986,31.47709273,14.99,-0.68,-4.77,15.74532946622585,146.41,1.143828125
try1,23,0.1,-42098.97127268,39.52996486,-6.57,2.35,6.17,9.31430620067861,158.73,1.240078125
try1,24,0.1,-42104.39776152,68.13406714,-4.91,1.34,-0.62,5.127192214068047,131.6,1.028125
try1,25,0.1,-42111.22188548,31.01884996,1.91,0.47,-7.58,7.831053568965034,90.33,0.705703125
try1,26,0.1,-42109.17396987,15.96137999,0.84,-0.0,-6.82,6.871535490703661,78.24,0.61125
try1,27,0.1,-42107.07582727,14.43548782,1.84,2.73,12.01,12.453055849870745,80.48,0.62875
try1,28,0.1,-42114.48075562,23.72621555,-0.98,0.53,-1.33,1.7349927953740905,81.8,0.6390625
try1,29,0.1,-42109.49765972,10.37040564,-0.18,0.75,2.44,2.5590037123849587,63.19,0.493671875
try1,30,0.1,-42115.45607398,15.9205086,3.66,-2.34,3.63,5.661104132587565,88.18,0.68890625
try1,31,0.1,-42111.21562249,10.87933416,3.91,1.57,7.98,9.024045655912873,74.03,0.578359375
try1,32,0.1,-42113.25877434,13.42991947,-1.24,-2.36,-3.78,4.625537806569091,82.24,0.6425
try1,33,0.1,-42112.39955695,9.68527904,-0.76,-1.32,-1.85,2.396351393264352,72.74,0.56828125
try1,34,0.1,-42104.38648412,8.29314251,-0.12,-3.36,0.14,3.3650557201924607,73.27,0.572421875
try1,35,0.1,-42107.4399139,16.27840111,3.95,7.62,-4.17,9.542316280652198,102.27,0.798984375
try1,36,0.1,-42101.47193025,11.67298853,1.07,-6.58,7.48,10.019565858858357,93.47,0.730234375
try1,37,0.1,-42109.6537535,21.68721763,-5.67,-0.29,-13.63,14.765158312730684,107.76,0.841875
try1,38,0.1,-42110.13398827,8.55966751,5.6,-4.19,-3.5,7.820875910024401,82.07,0.641171875
