volume_bohr3,volume_angstrom3,pressure_GPa
49.07000000,7.27142379,347.03290200
49.42050000,7.32336253,331.19791847
49.77100000,7.37530127,316.03188233
50.12150000,7.42724002,301.50533174
50.47200000,7.47917876,287.59022854
50.82250000,7.53111750,274.25988212
51.17300000,7.58305624,261.48887765
51.52350000,7.63499498,249.25300871
51.87400000,7.68693372,237.52921366
52.22450000,7.73887246,226.29551583
52.57500000,7.79081121,215.53096715
52.92550000,7.84274995,205.21559492
53.27600000,7.89468869,195.33035173
53.62650000,7.94662743,185.85706816
53.97700000,7.99856617,176.77840812
54.32750000,8.05050491,168.07782674
54.67800000,8.10244365,159.73953062
55.02850000,8.15438240,151.74844016
55.37900000,8.20632114,144.09015417
55.72950000,8.25825988,136.75091620
56.08000000,8.31019862,129.71758285
56.43050000,8.36213736,122.97759375
56.78100000,8.41407610,116.51894314
57.13150000,8.46601484,110.33015302
57.48200000,8.51795358,104.40024766
57.83250000,8.56989233,98.71872952
58.18300000,8.62183107,93.27555645
58.53350000,8.67376981,88.06111998
58.88400000,8.72570855,83.06622492
59.23450000,8.77764729,78.28206981
59.58500000,8.82958603,73.70022859
59.93550000,8.88152477,69.31263303
60.28600000,8.93346352,65.11155616
60.63650000,8.98540226,61.08959654
60.98700000,9.03734100,57.23966328
61.33750000,9.08927974,53.55496185
61.68800000,9.14121848,50.02898059
62.03850000,9.19315722,46.65547786
62.38900000,9.24509596,43.42846993
62.73950000,9.29703471,40.34221933
63.09000000,9.34897345,37.39122386
63.44050000,9.40091219,34.57020614
63.79100000,9.45285093,31.87410362
64.14150000,9.50478967,29.29805911
64.49200000,9.55672841,26.83741174
64.84250000,9.60866715,24.48768840
65.19300000,9.66060590,22.24459554
65.54350000,9.71254464,20.10401138
65.89400000,9.76448338,18.06197850
66.24450000,9.81642212,16.11469673
66.59500000,9.86836086,14.25851648
66.94550000,9.92029960,12.48993223
67.29600000,9.97223834,10.80557648
67.64650000,10.02417708,9.20221385
67.99700000,10.07611583,7.67673552
68.34750000,10.12805457,6.22615395
68.69800000,10.17999331,4.84759776
69.04850000,10.23193205,3.53830688
69.39900000,10.28387079,2.29562799
69.74950000,10.33580953,1.11701002
70.10000000,10.38774827,0.00000000
70.45050000,10.43968702,-1.05776101
70.80100000,10.49162576,-2.05854174
71.15150000,10.54356450,-3.00452440
71.50200000,10.59550324,-3.89780823
71.85250000,10.64744198,-4.74041278
72.20300000,10.69938072,-5.53428119
72.55350000,10.75131946,-6.28128327
72.90400000,10.80325821,-6.98321836
73.25450000,10.85519695,-7.64181824
73.60500000,10.90713569,-8.25874975
73.95550000,10.95907443,-8.83561740
74.30600000,11.01101317,-9.37396582
74.65650000,11.06295191,-9.87528210
75.00700000,11.11489065,-10.34099812
75.35750000,11.16682939,-10.77249261
75.70800000,11.21876814,-11.17109332
76.05850000,11.27070688,-11.53807893
76.40900000,11.32264562,-11.87468099
76.75950000,11.37458436,-12.18208575
77.11000000,11.42652310,-12.46143586
77.46050000,11.47846184,-12.71383210
77.81100000,11.53040058,-12.94033494
78.16150000,11.58233933,-13.14196611
78.51200000,11.63427807,-13.31971006
78.86250000,11.68621681,-13.47451538
79.21300000,11.73815555,-13.60729614
79.56350000,11.79009429,-13.71893323
79.91400000,11.84203303,-13.81027558
80.26450000,11.89397177,-13.88214136
80.61500000,11.94591052,-13.93531915
80.96550000,11.99784926,-13.97056902
81.31600000,12.04978800,-13.98862364
81.66650000,12.10172674,-13.99018921
82.01700000,12.15366548,-13.97594654
82.36750000,12.20560422,-13.94655192
82.71800000,12.25754296,-13.90263805
83.06850000,12.30948170,-13.84481490
83.41900000,12.36142045,-13.77367055
83.76950000,12.41335919,-13.68977197
84.12000000,12.46529793,-13.59366584
84.47050000,12.51723667,-13.48587923
84.82100000,12.56917541,-13.36692033
85.17150000,12.62111415,-13.23727918
85.52200000,12.67305289,-13.09742824
85.87250000,12.72499164,-12.94782311
86.22300000,12.77693038,-12.78890308
86.57350000,12.82886912,-12.62109173
86.92400000,12.88080786,-12.44479751
87.27450000,12.93274660,-12.26041427
87.62500000,12.98468534,-12.06832176
87.97550000,13.03662408,-11.86888617
88.32600000,13.08856283,-11.66246059
88.67650000,13.14050157,-11.44938547
89.02700000,13.19244031,-11.22998908
89.37750000,13.24437905,-11.00458794
89.72800000,13.29631779,-10.77348722
90.07850000,13.34825653,-10.53698116
90.42900000,13.40019527,-10.29535343
90.77950000,13.45213402,-10.04887754
91.13000000,13.50407276,-9.79781714
