step,minimum_frequency_THz,imaginary_path_percent,fit_rank,condition_number,rmse_eV_A
1,-4.808685912937146,7.850964737192283,2,3.029793534935234,1.7713952524294518
2,-4.884266406345991,7.850964737192283,2,3.026544303697732,1.768493342069961
3,-4.920458578098622,7.850964737192283,2,3.025813128631983,1.7734273780478422
4,-4.927026779647836,7.850964737192283,2,3.028594648805474,1.7795482532271067
5,-4.9512516664078605,7.917498336660013,2,3.035482555325622,1.775323888166404
6,-4.932116575606921,7.850964737192283,2,3.046753390511864,1.7755195339631418
7,-4.9277371809067825,7.850964737192283,2,3.0624926855462027,1.7646923647061625
8,-4.847122887378457,7.850964737192283,2,3.082681918893574,1.7547284669392478
9,-4.797487099800589,7.850964737192283,2,3.1068320714445488,1.7340868441146486
10,-4.711526437234297,7.850964737192283,2,3.1341750245858466,1.7114455532053319
11,-4.588565255975277,7.784431137724551,2,3.1634403463577665,1.6925506697761084
12,-4.518515749247478,7.784431137724551,2,3.1950403999270742,1.6711960214774622
13,-4.4107938610714825,7.784431137724551,2,3.2282128617069765,1.655674886086323
14,-4.304371109257529,7.717897538256819,2,3.2615738792152005,1.6494558970466868
15,-4.171283913574801,7.717897538256819,2,3.294765453356079,1.649073123432497
16,-4.064631121141556,7.651363938789088,2,3.3267996587226207,1.6592092938026024
17,-3.997156785712337,7.651363938789088,2,3.3569309521747557,1.6728506908626042
18,-3.897639191812577,7.584830339321358,2,3.384436702933916,1.6931951000244594
19,-3.845584503452363,7.584830339321358,2,3.4093722705304392,1.715943767135261
20,-3.7344434423880246,7.584830339321358,2,3.4322363054758833,1.7374557745497332
21,-3.6304406453415052,7.518296739853627,2,3.4545253705895433,1.752791480258068
22,-3.448594327522349,7.518296739853627,2,3.476173293941463,1.7747683403757397
24,-3.260581927896284,7.451763140385895,2,3.5193162832212534,1.7849584609945408
25,-3.1044073877146303,7.385229540918163,2,3.5418782048010584,1.7933272262541737
26,-2.8779613565677438,7.318695941450433,2,3.565787986434,1.796129509803055
27,-2.6503167068268048,7.318695941450433,2,3.5909848945748104,1.810131044817039
28,-2.4124013123432406,7.252162341982701,2,3.6193019836877127,1.8254518685096077
29,-1.983889705550185,7.119095143047238,2,3.6520882935186485,1.85516130790657
30,-1.528588128417814,6.986027944111776,2,3.6897488918832693,1.8896874560136614
31,-0.8026894140983138,6.852960745176315,2,3.733750668147123,1.9242765115591143
32,-1.4282940938817764e-07,0.0,2,3.7827932358887404,1.9711471692667448
33,1.0034750391967602e-07,0.0,2,3.837467863443505,2.0201459859407422
34,5.8238596617639775e-08,0.0,2,3.896663146806065,2.071423803647531
35,7.07116115704444e-08,0.0,2,3.960275555305546,2.1168330763613894
36,5.300419939122682e-08,0.0,2,4.0278249263658505,2.1656003805392614
37,1.3551416031824312e-07,0.0,2,4.0962732205802475,2.2102879167324105
38,-1.0215749198962198e-07,0.0,2,4.162734694603939,2.250041959748518
39,-3.689716475583513e-08,0.0,2,4.224622671880756,2.290648757870266
40,1.1474004279160162e-07,0.0,2,4.27707108156011,2.319365437413019
41,2.7245926597181208e-08,0.0,2,4.320686873005663,2.3446845322610472
42,1.040185535142141e-07,0.0,2,4.352710216172771,2.3663862350215954
43,-4.5784352969616324e-08,0.0,2,4.370794752449094,2.3858866087273287
44,-9.592686948947858e-08,0.0,2,4.373485927688228,2.4027302847008727
45,1.233657995745746e-07,0.0,2,4.360228054665321,2.4334302700264643
46,-7.526620201926398e-08,0.0,2,4.331878059477792,2.4623154189999097
47,-5.3960983654742155e-08,0.0,2,4.291283710706568,2.4841118151510546
48,1.59077178550435e-08,0.0,2,4.23881460146115,2.5169254265744025
49,3.0913350095468315e-08,0.0,2,4.176781505278882,2.5584684580088246
50,2.299437675213883e-08,0.0,2,4.109447679751385,2.60568506239191
51,-7.569238210139625e-08,0.0,2,4.040104159855397,2.6682856550231326
52,1.3137174438096563e-07,0.0,2,3.969860339452388,2.7211179728323622
53,1.1578868733719694e-07,0.0,2,3.9049698936405,2.774668125879622
54,8.661673511703947e-08,0.0,2,3.8474123148942274,2.8344826226988324
55,1.4323547026868402e-07,0.0,2,3.7962431869471343,2.9100890017752006
56,1.3479975520502663e-07,0.0,2,3.755663818839217,2.929416611529839
57,7.60155767398771e-08,0.0,2,3.7263439412327477,2.9526309811078915
58,1.1054429677204858e-07,0.0,2,3.7069439637306854,2.9595163800817783
59,-1.0912063869017432e-07,0.0,2,3.695860146062819,2.9446640132801942
60,-7.237363243478983e-08,0.0,2,3.6926833263273773,2.918045602570923
61,-5.973908105904048e-08,0.0,2,3.6962052530258864,2.8660573806323795
62,1.2310669942063774e-07,0.0,2,3.704510534466712,2.794574093570309
63,3.528991532605065e-08,0.0,2,3.7155056112900393,2.7142598841684276
64,1.4193189085132418e-07,0.0,2,3.7266976478170646,2.609817472720957
65,1.322811863507128e-07,0.0,2,3.7353617888703985,2.5175017324949285
66,-9.438934572887147e-08,0.0,2,3.7399276085547664,2.419492130651862
67,-5.96181740960842e-08,0.0,2,3.7385447343964033,2.3403395778107905
68,-8.273112503212696e-08,0.0,2,3.7296109050052464,2.285759188854098
69,1.358362934716653e-07,0.0,2,3.711931395641002,2.2556921330799464
70,-8.364618426435743e-08,0.0,2,3.686329760256518,2.2716294813653874
71,-7.52789530548612e-08,0.0,2,3.653670000667267,2.3134983808657625
72,-6.511273047561593e-08,0.0,2,3.618743189166642,2.3850481402058423
73,1.4387195697373053e-07,0.0,2,3.584082210784638,2.4524280683255384
74,1.4695546910776495e-07,0.0,2,3.5537530039047014,2.537212570957012
75,7.912858905723135e-08,0.0,2,3.5267501100471357,2.5911347876686697
76,-5.9215021454527986e-08,0.0,2,3.5071768972642268,2.6316672650382262
77,7.093898068524193e-08,0.0,2,3.496879321173023,2.656687757413255
78,9.793115410309972e-08,0.0,2,3.49757720310703,2.6438581897654156
79,8.171834192466968e-08,0.0,2,3.5104089730556183,2.610076854431924
80,-0.5266341249984581,6.786427145708583,2,3.536317854654181,2.552555164763086
81,-0.7563715123202103,6.786427145708583,2,3.575969914928121,2.4598272787300495
82,-0.9763443359422252,6.852960745176315,2,3.6289503346482457,2.3512499607752266
83,-1.1109617485872338,6.919494344644045,2,3.6935208823439654,2.2266743304237955
84,-1.2227884445985984,6.919494344644045,2,3.768272346569684,2.0944859624012024
85,-1.3277384445529654,6.986027944111776,2,3.8437455874880464,1.9673428725190316
86,-1.520928832273547,6.986027944111776,2,3.91604577957622,1.8496325421076072
87,-1.6745370408608093,7.052561543579508,2,3.9770243620223193,1.7458708205724816
88,-1.8956483708738217,7.119095143047238,2,4.016286957974097,1.6652572813525535
89,-2.148933454114097,7.18562874251497,2,4.030250858031029,1.6033799226337633
90,-2.349933822816781,7.18562874251497,2,4.0160357003005,1.5642330010169492
91,-2.5818978377982256,7.252162341982701,2,3.9730623411267745,1.54112302878035
92,-2.8185714215623765,7.318695941450433,2,3.9052998374860444,1.5313040970027547
93,-3.011239506386748,7.318695941450433,2,3.817072936488276,1.543493853017794
