MD_step,postpropagation_temperature_K,mean_local_moment_muB,S_proxy_kB_per_Fe,S_proxy_eV_per_K_per_Fe,minus_4000K_S_proxy_eV_per_Fe
1,3975.46946466,1.6296181782458752,0.9667601065072753,8.330894022319986e-05,-0.33323576089279944
2,4218.1996273,1.6296635860558513,0.966779099023812,8.331057687164469e-05,-0.33324230748657874
3,4005.59004341,1.6294821552696985,0.9667128129262181,8.330486477770856e-05,-0.3332194591108342
4,3990.48119616,1.6301589107398637,0.966977594299843,8.33276818710899e-05,-0.3333107274843596
5,3943.60630882,1.629055778660443,0.9665607149216022,8.329175798576573e-05,-0.3331670319430629
6,3824.91516974,1.6281634450264326,0.9662254194630742,8.326286445869154e-05,-0.33305145783476614
7,3818.44788853,1.6273253376247263,0.9659106756673383,8.323574193689106e-05,-0.3329429677475642
8,3839.35956754,1.6269223111805429,0.9657626564728139,8.322298662960694e-05,-0.33289194651842774
9,3847.83727233,1.6267722081029645,0.9657109178349027,8.321852813875284e-05,-0.33287411255501137
10,3555.1552443,1.625187260924858,0.9651071132249381,8.316649628326e-05,-0.33266598513303997
11,3551.58045859,1.6253060356565543,0.9651588681218812,8.317095617520907e-05,-0.33268382470083624
12,3621.34162903,1.6238986281042787,0.9646247480403662,8.312492926776488e-05,-0.3324997170710595
13,3562.82915352,1.6226628871248603,0.9641547956816203,8.308443190683843e-05,-0.3323377276273537
14,3635.92250268,1.6214329266499754,0.9636862358863907,8.304405454775107e-05,-0.33217621819100424
15,3701.98346365,1.6201699151101325,0.963202521332605,8.300237125261386e-05,-0.3320094850104554
16,3799.67847277,1.619472305141655,0.9629377238135703,8.297955276792875e-05,-0.331918211071715
17,3812.89776419,1.6180964637405546,0.9624068266978238,8.293380359418576e-05,-0.331735214376743
18,3813.19068838,1.6164592322591085,0.9617767003522144,8.287950350701202e-05,-0.33151801402804804
19,3593.39010448,1.6153660171505435,0.9613605254352362,8.284364032746255e-05,-0.3313745613098502
20,3748.79889681,1.613653569329543,0.9607004913856403,8.278676299376524e-05,-0.33114705197506095
21,3830.81464095,1.61259618158349,0.9602927743822063,8.27516286608129e-05,-0.3310065146432516
22,3937.59756099,1.6112306756464423,0.9597690512748507,8.27064976952812e-05,-0.3308259907811248
24,4041.04991117,1.6165543705574912,0.9617922406841664,8.288084266920637e-05,-0.3315233706768254
25,4337.71756412,1.6147304723818996,0.961100158513488,8.282120364211112e-05,-0.33128481456844444
26,4126.70428694,1.6126479975505448,0.960306197124788,8.275278534327409e-05,-0.33101114137309634
27,3994.9865716,1.61046402063312,0.9594737000118849,8.26810462926575e-05,-0.33072418517062996
28,4022.81371345,1.6084663441663098,0.9587066170985166,8.261494420161557e-05,-0.33045977680646227
29,3897.9964691,1.606201140268102,0.957836337433749,8.253994930258987e-05,-0.33015979721035943
30,4113.46115416,1.6055980389253506,0.9576053452594948,8.252004393712491e-05,-0.3300801757484996
31,4025.37042448,1.603888265264628,0.9569511879954413,8.246367302562289e-05,-0.3298546921024916
