sample_index,source_file,source_name,phase,frame_index,natoms,energy_eV,energy_eV_atom,volume_A3,volume_A3_atom,split
0,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,0,128,-572767.4527100131,-4474.745724296978,740.7719256362939,5.787280669033546,train
1,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,1,128,-572764.5833568422,-4474.723307475329,740.7719256362939,5.787280669033546,test
2,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,2,128,-572760.1397191378,-4474.688591555764,740.7719256362939,5.787280669033546,train
3,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,3,128,-572754.0629166306,-4474.641116536177,740.7719256362939,5.787280669033546,train
4,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,4,128,-572746.6901664223,-4474.583516925174,740.7719256362939,5.787280669033546,test
5,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,5,128,-572738.5701737304,-4474.520079482269,740.7719256362939,5.787280669033546,train
6,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,6,128,-572729.875606364,-4474.452153174719,740.7719256362939,5.787280669033546,train
7,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,7,128,-572721.1212298678,-4474.383759608342,740.7719256362939,5.787280669033546,train
8,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,8,128,-572712.6801629573,-4474.317813773104,740.7719256362939,5.787280669033546,test
9,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,9,128,-572704.9053845209,-4474.257073316569,740.7719256362939,5.787280669033546,test
10,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,10,128,-572698.5412216141,-4474.20735329386,740.7719256362939,5.787280669033546,test
11,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,11,128,-572693.6193911481,-4474.1689014933445,740.7719256362939,5.787280669033546,train
12,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,12,128,-572690.3154166313,-4474.143089192432,740.7719256362939,5.787280669033546,train
13,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,13,128,-572688.789425233,-4474.131167384633,740.7719256362939,5.787280669033546,train
14,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,14,128,-572688.9144819602,-4474.132144390314,740.7719256362939,5.787280669033546,test
15,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,15,128,-572690.442687413,-4474.144083495414,740.7719256362939,5.787280669033546,test
16,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,fcc,16,128,-572693.0246569185,-4474.164255132176,740.7719256362939,5.787280669033546,train
