sample_index,source_file,source_name,frame_index,phase,natoms,energy_eV,energy_eV_atom,volume_A3,volume_A3_atom,temperature_K,pressure_GPa,time_ps,split
0,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,0,fcc,128,-572767.4527100131,-4474.745724296978,740.7719256362939,5.787280669033546,5054.2197265625,576.1410522460938,0.0010000000474974513,val
1,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,1,fcc,128,-572764.5833568422,-4474.723307475329,740.7719256362939,5.787280669033546,4822.7841796875,577.333984375,0.0020000000949949026,train
2,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,2,fcc,128,-572760.1397191378,-4474.688591555764,740.7719256362939,5.787280669033546,4500.6728515625,579.6530151367188,0.003000000026077032,train
3,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,3,fcc,128,-572754.0629166306,-4474.641116536177,740.7719256362939,5.787280669033546,4414.24658203125,580.8629760742188,0.004000000189989805,test
4,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,4,fcc,128,-572746.6901664223,-4474.583516925174,740.7719256362939,5.787280669033546,4147.0205078125,584.89501953125,0.004999999888241291,train
5,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,5,fcc,128,-572738.5701737304,-4474.520079482269,740.7719256362939,5.787280669033546,3638.737060546875,587.8300170898438,0.006000000052154064,train
6,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,6,fcc,128,-572729.875606364,-4474.452153174719,740.7719256362939,5.787280669033546,3387.220703125,590.7830200195312,0.007000000216066837,test
7,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,7,fcc,128,-572721.1212298678,-4474.383759608342,740.7719256362939,5.787280669033546,2965.531982421875,594.60400390625,0.00800000037997961,train
8,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,8,fcc,128,-572712.6801629573,-4474.317813773104,740.7719256362939,5.787280669033546,2630.38720703125,597.5480346679688,0.008999999612569809,train
9,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,9,fcc,128,-572704.9053845209,-4474.257073316569,740.7719256362939,5.787280669033546,2336.302978515625,600.6690063476562,0.009999999776482582,test
10,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,10,fcc,128,-572698.5412216141,-4474.20735329386,740.7719256362939,5.787280669033546,1917.885498046875,602.1420288085938,0.010999999940395355,val
11,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,11,fcc,128,-572693.6193911481,-4474.1689014933445,740.7719256362939,5.787280669033546,1695.69775390625,604.4990234375,0.012000000104308128,train
12,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,12,fcc,128,-572690.3154166313,-4474.143089192432,740.7719256362939,5.787280669033546,1583.359375,604.5189819335938,0.013000000268220901,train
13,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,13,fcc,128,-572688.789425233,-4474.131167384633,740.7719256362939,5.787280669033546,1482.2327880859375,605.197998046875,0.014000000432133675,train
14,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,14,fcc,128,-572688.9144819602,-4474.132144390314,740.7719256362939,5.787280669033546,1545.2177734375,606.4169921875,0.014999999664723873,train
15,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,15,fcc,128,-572690.442687413,-4474.144083495414,740.7719256362939,5.787280669033546,1705.3726806640625,606.5560302734375,0.01600000075995922,train
16,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,16,fcc,128,-572693.0246569185,-4474.164255132176,740.7719256362939,5.787280669033546,2011.51513671875,603.0859985351562,0.017000000923871994,val
17,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,17,fcc,128,-572696.166174835,-4474.188798240898,740.7719256362939,5.787280669033546,2339.99658203125,603.2970581054688,0.017999999225139618,train
18,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,18,fcc,128,-572699.3746101755,-4474.213864141996,740.7719256362939,5.787280669033546,2697.88134765625,600.8670043945312,0.01899999938905239,val
19,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,19,fcc,128,-572702.1772939542,-4474.235760109017,740.7719256362939,5.787280669033546,3059.64404296875,601.4920043945312,0.019999999552965164,train
20,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,20,fcc,128,-572704.1872423018,-4474.2514628304825,740.7719256362939,5.787280669033546,3527.44140625,598.0780029296875,0.020999999716877937,train
21,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,21,fcc,128,-572705.035043782,-4474.258086279547,740.7719256362939,5.787280669033546,3649.021240234375,599.1700439453125,0.02199999988079071,train
22,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,22,fcc,128,-572704.7432675185,-4474.255806777488,740.7719256362939,5.787280669033546,3545.689453125,598.4220581054688,0.023000000044703484,val
23,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,23,fcc,128,-572703.2993064761,-4474.244525831845,740.7719256362939,5.787280669033546,3684.58837890625,600.4730224609375,0.024000000208616257,train
24,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,24,fcc,128,-572700.8801337134,-4474.225626044636,740.7719256362939,5.787280669033546,3606.1171875,600.093994140625,0.02500000037252903,train
25,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,25,fcc,128,-572697.6955209889,-4474.200746257726,740.7719256362939,5.787280669033546,3506.729248046875,602.0640258789062,0.026000000536441803,train
26,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,26,fcc,128,-572694.0803069925,-4474.172502398379,740.7719256362939,5.787280669033546,3397.235595703125,602.8150024414062,0.027000000700354576,train
27,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,27,fcc,128,-572690.313999054,-4474.14307811761,740.7719256362939,5.787280669033546,3273.411865234375,605.3490600585938,0.02800000086426735,val
28,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,28,fcc,128,-572686.861583025,-4474.1161061173825,740.7719256362939,5.787280669033546,3074.0458984375,606.2630004882812,0.028999999165534973,train
29,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,29,fcc,128,-572684.0554462576,-4474.094183173887,740.7719256362939,5.787280669033546,2911.17138671875,608.0890502929688,0.029999999329447746,test
30,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,30,fcc,128,-572682.1131239187,-4474.0790087806145,740.7719256362939,5.787280669033546,2937.094970703125,607.322998046875,0.03099999949336052,train
31,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,31,fcc,128,-572681.2028195173,-4474.071897027479,740.7719256362939,5.787280669033546,3028.431640625,609.9240112304688,0.03200000151991844,train
32,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,32,fcc,128,-572681.4987323197,-4474.0742088462475,740.7719256362939,5.787280669033546,3060.11376953125,609.9080200195312,0.032999999821186066,train
33,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,33,fcc,128,-572683.0115445635,-4474.086027691902,740.7719256362939,5.787280669033546,2985.90625,609.1600341796875,0.03400000184774399,val
34,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,34,fcc,128,-572685.6672509385,-4474.106775397957,740.7719256362939,5.787280669033546,3086.361328125,607.8400268554688,0.03500000014901161,train
35,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,35,fcc,128,-572689.2598209799,-4474.1348423514055,740.7719256362939,5.787280669033546,3492.067626953125,606.177978515625,0.035999998450279236,train
36,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,36,fcc,128,-572693.416500469,-4474.167316409914,740.7719256362939,5.787280669033546,3793.0888671875,604.0700073242188,0.03700000047683716,train
37,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,37,fcc,128,-572697.7542725481,-4474.201205254282,740.7719256362939,5.787280669033546,4145.87158203125,603.0370483398438,0.03799999877810478,train
38,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,38,fcc,128,-572701.9031754312,-4474.233618558056,740.7719256362939,5.787280669033546,4459.57958984375,600.5800170898438,0.039000000804662704,train
39,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,39,fcc,128,-572705.5002020174,-4474.261720328261,740.7719256362939,5.787280669033546,4717.18701171875,599.68701171875,0.03999999910593033,val
40,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,40,fcc,128,-572708.3242808843,-4474.283783444409,740.7719256362939,5.787280669033546,5014.2626953125,597.6279907226562,0.04100000113248825,train
41,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,41,fcc,128,-572710.1107408941,-4474.297740163235,740.7719256362939,5.787280669033546,5386.40185546875,597.5260009765625,0.041999999433755875,train
42,/Users/dajuarez4/Documents/Fe/dataset/fcc/non-mag/2.85_5000K.npz,2.85_5000K.npz,42,fcc,128,-572710.6951264977,-4474.302305675763,740.7719256362939,5.787280669033546,5583.33984375,596.9850463867188,0.0430000014603138,train
